gateway_txn_id,event_date,merchant_ref,gateway_ref,settlement_batch,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G00032,2026-09-26,INV-X0031,GW-900000032,BAT-0006,Customer_058,SETTLEMENT,54083.01,0.0,0.0,54083.01,INR
G00033,2026-10-07,INV-X0032,GW-900000033,BAT-0006,Customer_065,SETTLEMENT,34010.0,0.0,0.0,34010.0,INR
G00034,2026-08-27,INV-X0033,GW-900000034,BAT-0006,Customer_072,SETTLEMENT,66748.0,0.0,0.0,66748.0,INR
G00035,2026-09-17,INV-X0034,GW-900000035,BAT-0006,Customer_079,SETTLEMENT,60719.03,0.0,0.0,60719.03,INR
G00036,2026-08-21,INV-X0035,GW-900000036,BAT-0007,Customer_006,SETTLEMENT,35609.02,0.0,0.0,35609.02,INR
G00037,2026-08-08,INV-X0036,GW-900000037,BAT-0007,Customer_013,SETTLEMENT,33146.0,0.0,0.0,33146.0,INR
G00038,2026-10-14,INV-X0037,GW-900000038,BAT-0007,Customer_020,SETTLEMENT,27275.03,0.0,0.0,27275.03,INR
G00039,2026-08-31,INV-X0038,GW-900000039,BAT-0007,Customer_027,SETTLEMENT,54473.01,0.0,0.0,54473.01,INR
G00040,2026-09-24,INV-X0039,GW-900000040,BAT-0007,Customer_034,SETTLEMENT,41765.0,0.0,0.0,41765.0,INR
G00041,2026-08-13,INV-X0040,GW-900000041,BAT-0008,Customer_041,SETTLEMENT,45930.03,0.0,0.0,45930.03,INR
G00042,2026-08-17,INV-X0041,GW-900000042,BAT-0008,Customer_048,SETTLEMENT,27167.02,0.0,0.0,27167.02,INR
G00043,2026-08-04,INV-X0042,GW-900000043,BAT-0008,Customer_055,SETTLEMENT,60680.0,0.0,0.0,60680.0,INR
G00044,2026-10-06,INV-X0043,GW-900000044,BAT-0008,Customer_062,SETTLEMENT,42469.02,0.0,0.0,42469.02,INR
G00045,2026-09-15,INV-X0044,GW-900000045,BAT-0008,Customer_069,SETTLEMENT,10422.0,0.0,0.0,10422.0,INR
G00046,2026-10-27,INV-X0045,GW-900000046,BAT-0009,Customer_076,SETTLEMENT,62351.0,0.0,0.0,62351.0,INR
G00047,2026-10-23,INV-X0046,GW-900000047,BAT-0009,Customer_003,SETTLEMENT,46926.03,0.0,0.0,46926.03,INR
G00048,2026-10-26,INV-X0047,GW-900000048,BAT-0009,Customer_010,SETTLEMENT,25494.03,0.0,0.0,25494.03,INR
G00049,2026-08-08,INV-X0048,GW-900000049,BAT-0009,Customer_017,SETTLEMENT,65224.02,0.0,0.0,65224.02,INR
G00050,2026-10-11,INV-X0049,GW-900000050,BAT-0009,Customer_024,SETTLEMENT,38755.01,0.0,0.0,38755.01,INR
G00051,2026-09-14,INV-F000-0,GW-900000051,BAT-FEE-000,Customer_006,SETTLEMENT,34100.0,613.8,110.48,33375.72,INR
G00052,2026-09-15,INV-F000-1,GW-900000052,BAT-FEE-000,Customer_006,SETTLEMENT,34085.0,681.7,122.71,33280.59,INR
G00053,2026-09-16,INV-F000-2,GW-900000053,BAT-FEE-000,Customer_006,SETTLEMENT,24961.0,599.06,107.83,24254.11,INR
G00054,2026-09-17,INV-F000-3,GW-900000054,BAT-FEE-000,Customer_006,SETTLEMENT,34075.0,613.35,110.4,33351.25,INR
G00055,2026-10-04,INV-F001-0,GW-900000055,BAT-FEE-001,Customer_017,SETTLEMENT,11584.0,208.51,37.53,11337.96,INR
G00056,2026-10-05,INV-F001-1,GW-900000056,BAT-FEE-001,Customer_017,SETTLEMENT,19112.0,334.46,60.2,18717.34,INR
G00057,2026-10-06,INV-F001-2,GW-900000057,BAT-FEE-001,Customer_017,SETTLEMENT,9679.0,232.3,41.81,9404.89,INR
G00058,2026-10-07,INV-F001-3,GW-900000058,BAT-FEE-001,Customer_017,SETTLEMENT,8149.0,175.2,31.54,7942.26,INR
G00059,2026-09-19,INV-F002-0,GW-900000059,BAT-FEE-002,Customer_028,SETTLEMENT,30925.0,664.89,119.68,30140.43,INR
G00060,2026-09-20,INV-F002-1,GW-900000060,BAT-FEE-002,Customer_028,SETTLEMENT,20744.0,363.02,65.34,20315.64,INR
G00061,2026-09-21,INV-F002-2,GW-900000061,BAT-FEE-002,Customer_028,SETTLEMENT,20678.0,413.56,74.44,20190.0,INR
G00062,2026-08-20,INV-F003-0,GW-900000062,BAT-FEE-003,Customer_039,SETTLEMENT,32291.0,645.82,116.25,31528.93,INR
G00063,2026-08-21,INV-F003-1,GW-900000063,BAT-FEE-003,Customer_039,SETTLEMENT,30756.0,553.61,99.65,30102.74,INR
G00064,2026-09-26,INV-F004-0,GW-900000064,BAT-FEE-004,Customer_050,SETTLEMENT,12567.0,226.21,40.72,12300.07,INR
G00065,2026-09-27,INV-F004-1,GW-900000065,BAT-FEE-004,Customer_050,SETTLEMENT,19596.0,342.93,61.73,19191.34,INR
G00066,2026-09-28,INV-F004-2,GW-900000066,BAT-FEE-004,Customer_050,SETTLEMENT,15579.0,280.42,50.48,15248.1,INR
G00067,2026-09-29,INV-F004-3,GW-900000067,BAT-FEE-004,Customer_050,SETTLEMENT,18224.0,318.92,57.41,17847.67,INR
G00068,2026-09-29,INV-F005-0,GW-900000068,BAT-FEE-005,Customer_061,SETTLEMENT,31557.0,631.14,113.61,30812.25,INR
G00069,2026-09-30,INV-F005-1,GW-900000069,BAT-FEE-005,Customer_061,SETTLEMENT,26795.0,576.09,103.7,26115.21,INR
G00070,2026-08-07,INV-F006-0,GW-900000070,BAT-FEE-006,Customer_072,SETTLEMENT,34549.0,829.18,149.25,33570.57,INR
G00071,2026-08-08,INV-F006-1,GW-900000071,BAT-FEE-006,Customer_072,SETTLEMENT,22142.0,398.56,71.74,21671.7,INR
G00072,2026-08-09,INV-F006-2,GW-900000072,BAT-FEE-006,Customer_072,SETTLEMENT,30601.0,612.02,110.16,29878.82,INR
G00073,2026-08-10,INV-F006-3,GW-900000073,BAT-FEE-006,Customer_072,SETTLEMENT,20906.0,365.86,65.85,20474.29,INR
G00074,2026-08-07,INV-F007-0,GW-900000074,BAT-FEE-007,Customer_003,SETTLEMENT,19001.0,332.52,59.85,18608.63,INR
G00075,2026-08-08,INV-F007-1,GW-900000075,BAT-FEE-007,Customer_003,SETTLEMENT,26459.0,635.02,114.3,25709.68,INR
G00076,2026-08-09,INV-F007-2,GW-900000076,BAT-FEE-007,Customer_003,SETTLEMENT,15629.0,336.02,60.48,15232.5,INR
G00077,2026-09-21,INV-F008-0,GW-900000077,BAT-FEE-008,Customer_014,SETTLEMENT,9340.0,186.8,33.62,9119.58,INR
G00078,2026-09-22,INV-F008-1,GW-900000078,BAT-FEE-008,Customer_014,SETTLEMENT,25734.0,617.62,111.17,25005.21,INR
G00079,2026-09-23,INV-F008-2,GW-900000079,BAT-FEE-008,Customer_014,SETTLEMENT,31485.0,629.7,113.35,30741.95,INR
G00080,2026-10-09,INV-F009-0,GW-900000080,BAT-FEE-009,Customer_025,SETTLEMENT,25541.0,446.97,80.45,25013.58,INR
G00081,2026-10-10,INV-F009-1,GW-900000081,BAT-FEE-009,Customer_025,SETTLEMENT,9704.0,232.9,41.92,9429.18,INR
G00082,2026-10-11,INV-F009-2,GW-900000082,BAT-FEE-009,Customer_025,SETTLEMENT,33651.0,807.62,145.37,32698.01,INR
G00083,2026-08-03,INV-F010-0,GW-900000083,BAT-FEE-010,Customer_036,SETTLEMENT,25765.0,553.95,99.71,25111.34,INR
G00084,2026-08-04,INV-F010-1,GW-900000084,BAT-FEE-010,Customer_036,SETTLEMENT,7075.0,123.81,22.29,6928.9,INR
G00085,2026-10-10,INV-F011-0,GW-900000085,BAT-FEE-011,Customer_047,SETTLEMENT,6665.0,116.64,21.0,6527.36,INR
G00086,2026-10-11,INV-F011-1,GW-900000086,BAT-FEE-011,Customer_047,SETTLEMENT,28150.0,492.63,88.67,27568.7,INR
G00087,2026-10-12,INV-F011-2,GW-900000087,BAT-FEE-011,Customer_047,SETTLEMENT,19657.0,471.77,84.92,19100.31,INR
G00088,2026-10-13,INV-F011-3,GW-900000088,BAT-FEE-011,Customer_047,SETTLEMENT,8177.0,147.19,26.49,8003.32,INR
G00089,2026-09-26,INV-F012-0,GW-900000089,BAT-FEE-012,Customer_058,SETTLEMENT,16194.0,348.17,62.67,15783.16,INR
G00090,2026-09-27,INV-F012-1,GW-900000090,BAT-FEE-012,Customer_058,SETTLEMENT,28087.0,674.09,121.34,27291.57,INR
G00091,2026-09-28,INV-F012-2,GW-900000091,BAT-FEE-012,Customer_058,SETTLEMENT,14005.0,336.12,60.5,13608.38,INR
G00092,2026-08-06,INV-F013-0,GW-900000092,BAT-FEE-013,Customer_069,SETTLEMENT,11272.0,202.9,36.52,11032.58,INR
G00093,2026-08-07,INV-F013-1,GW-900000093,BAT-FEE-013,Customer_069,SETTLEMENT,9067.0,217.61,39.17,8810.22,INR
G00094,2026-09-27,INV-F014-0,GW-900000094,BAT-FEE-014,Customer_080,SETTLEMENT,22272.0,400.9,72.16,21798.94,INR
G00095,2026-09-28,INV-F014-1,GW-900000095,BAT-FEE-014,Customer_080,SETTLEMENT,8460.0,181.89,32.74,8245.37,INR
G00096,2026-10-07,INV-F015-0,GW-900000096,BAT-FEE-015,Customer_011,SETTLEMENT,27977.0,559.54,100.72,27316.74,INR
G00097,2026-10-08,INV-F015-1,GW-900000097,BAT-FEE-015,Customer_011,SETTLEMENT,27278.0,654.67,117.84,26505.49,INR
G00098,2026-10-09,INV-F015-2,GW-900000098,BAT-FEE-015,Customer_011,SETTLEMENT,23406.0,561.74,101.11,22743.15,INR
G00099,2026-08-18,INV-F016-0,GW-900000099,BAT-FEE-016,Customer_022,SETTLEMENT,7494.0,161.12,29.0,7303.88,INR
G00100,2026-08-19,INV-F016-1,GW-900000100,BAT-FEE-016,Customer_022,SETTLEMENT,10854.0,233.36,42.0,10578.64,INR
G00101,2026-08-20,INV-F016-2,GW-900000101,BAT-FEE-016,Customer_022,SETTLEMENT,7245.0,155.77,28.04,7061.19,INR
G00102,2026-08-21,INV-F016-3,GW-900000102,BAT-FEE-016,Customer_022,SETTLEMENT,17179.0,343.58,61.84,16773.58,INR
G00103,2026-08-21,INV-F017-0,GW-900000103,BAT-FEE-017,Customer_033,SETTLEMENT,26315.0,473.67,85.26,25756.07,INR
G00104,2026-08-22,INV-F017-1,GW-900000104,BAT-FEE-017,Customer_033,SETTLEMENT,28427.0,497.47,89.54,27839.99,INR
G00105,2026-08-23,INV-F017-2,GW-900000105,BAT-FEE-017,Customer_033,SETTLEMENT,27716.0,665.18,119.73,26931.09,INR
G00106,2026-08-24,INV-F017-3,GW-900000106,BAT-FEE-017,Customer_033,SETTLEMENT,26434.0,568.33,102.3,25763.37,INR
G00107,2026-10-17,INV-F018-0,GW-900000107,BAT-FEE-018,Customer_044,SETTLEMENT,31600.0,553.0,99.54,30947.46,INR
G00108,2026-10-18,INV-F018-1,GW-900000108,BAT-FEE-018,Customer_044,SETTLEMENT,34532.0,690.64,124.32,33717.04,INR
G00109,2026-10-19,INV-F018-2,GW-900000109,BAT-FEE-018,Customer_044,SETTLEMENT,6003.0,129.06,23.23,5850.71,INR
G00110,2026-08-30,INV-F019-0,GW-900000110,BAT-FEE-019,Customer_055,SETTLEMENT,30337.0,652.25,117.41,29567.34,INR
G00111,2026-08-31,INV-F019-1,GW-900000111,BAT-FEE-019,Customer_055,SETTLEMENT,14329.0,343.9,61.9,13923.2,INR
G00112,2026-09-01,INV-F019-2,GW-900000112,BAT-FEE-019,Customer_055,SETTLEMENT,29772.0,640.1,115.22,29016.68,INR
G00113,2026-09-02,INV-F019-3,GW-900000113,BAT-FEE-019,Customer_055,SETTLEMENT,22502.0,450.04,81.01,21970.95,INR
G00114,2026-09-23,INV-F020-0,GW-900000114,BAT-FEE-020,Customer_066,SETTLEMENT,26817.0,536.34,96.54,26184.12,INR
G00115,2026-09-24,INV-F020-1,GW-900000115,BAT-FEE-020,Customer_066,SETTLEMENT,28614.0,572.28,103.01,27938.71,INR
G00116,2026-09-25,INV-F020-2,GW-900000116,BAT-FEE-020,Customer_066,SETTLEMENT,7937.0,190.49,34.29,7712.22,INR
G00117,2026-09-26,INV-F020-3,GW-900000117,BAT-FEE-020,Customer_066,SETTLEMENT,33197.0,580.95,104.57,32511.48,INR
G00118,2026-09-26,INV-F021-0,GW-900000118,BAT-FEE-021,Customer_077,SETTLEMENT,34213.0,735.58,132.4,33345.02,INR
G00119,2026-09-27,INV-F021-1,GW-900000119,BAT-FEE-021,Customer_077,SETTLEMENT,28458.0,569.16,102.45,27786.39,INR
G00120,2026-09-28,INV-F021-2,GW-900000120,BAT-FEE-021,Customer_077,SETTLEMENT,19478.0,350.6,63.11,19064.29,INR
G00121,2026-09-05,INV-F022-0,GW-900000121,BAT-FEE-022,Customer_008,SETTLEMENT,32394.0,566.9,102.04,31725.06,INR
G00122,2026-09-06,INV-F022-1,GW-900000122,BAT-FEE-022,Customer_008,SETTLEMENT,28102.0,491.79,88.52,27521.69,INR
G00123,2026-09-07,INV-F022-2,GW-900000123,BAT-FEE-022,Customer_008,SETTLEMENT,31595.0,631.9,113.74,30849.36,INR
G00124,2026-09-08,INV-F022-3,GW-900000124,BAT-FEE-022,Customer_008,SETTLEMENT,8476.0,148.33,26.7,8300.97,INR
G00125,2026-09-07,INV-F023-0,GW-900000125,BAT-FEE-023,Customer_019,SETTLEMENT,15820.0,276.85,49.83,15493.32,INR
G00126,2026-09-08,INV-F023-1,GW-900000126,BAT-FEE-023,Customer_019,SETTLEMENT,25378.0,545.63,98.21,24734.16,INR
G00127,2026-09-09,INV-F023-2,GW-900000127,BAT-FEE-023,Customer_019,SETTLEMENT,23882.0,477.64,85.98,23318.38,INR
G00128,2026-09-10,INV-F023-3,GW-900000128,BAT-FEE-023,Customer_019,SETTLEMENT,11267.0,197.17,35.49,11034.34,INR
G00129,2026-09-14,INV-F024-0,GW-900000129,BAT-FEE-024,Customer_030,SETTLEMENT,16052.0,288.94,52.01,15711.05,INR
G00130,2026-09-15,INV-F024-1,GW-900000130,BAT-FEE-024,Customer_030,SETTLEMENT,27019.0,580.91,104.56,26333.53,INR
G00131,2026-09-16,INV-F024-2,GW-900000131,BAT-FEE-024,Customer_030,SETTLEMENT,13341.0,286.83,51.63,13002.54,INR
G00132,2026-09-28,INV-F025-0,GW-900000132,BAT-FEE-025,Customer_041,SETTLEMENT,22541.0,394.47,71.0,22075.53,INR
G00133,2026-09-29,INV-F025-1,GW-900000133,BAT-FEE-025,Customer_041,SETTLEMENT,6833.0,163.99,29.52,6639.49,INR
G00134,2026-09-30,INV-F025-2,GW-900000134,BAT-FEE-025,Customer_041,SETTLEMENT,20832.0,499.97,89.99,20242.04,INR
G00135,2026-10-08,INV-F026-0,GW-900000135,BAT-FEE-026,Customer_052,SETTLEMENT,11281.0,225.62,40.61,11014.77,INR
G00136,2026-10-09,INV-F026-1,GW-900000136,BAT-FEE-026,Customer_052,SETTLEMENT,31292.0,625.84,112.65,30553.51,INR
G00137,2026-10-16,INV-F027-0,GW-900000137,BAT-FEE-027,Customer_063,SETTLEMENT,22957.0,459.14,82.65,22415.21,INR
G00138,2026-10-17,INV-F027-1,GW-900000138,BAT-FEE-027,Customer_063,SETTLEMENT,28482.0,612.36,110.22,27759.42,INR
G00139,2026-10-05,INV-F028-0,GW-900000139,BAT-FEE-028,Customer_074,SETTLEMENT,13026.0,280.06,50.41,12695.53,INR
G00140,2026-10-06,INV-F028-1,GW-900000140,BAT-FEE-028,Customer_074,SETTLEMENT,11872.0,284.93,51.29,11535.78,INR
G00141,2026-10-07,INV-F028-2,GW-900000141,BAT-FEE-028,Customer_074,SETTLEMENT,9346.0,186.92,33.65,9125.43,INR
G00142,2026-08-18,INV-F029-0,GW-900000142,BAT-FEE-029,Customer_005,SETTLEMENT,13040.0,312.96,56.33,12670.71,INR
G00143,2026-08-19,INV-F029-1,GW-900000143,BAT-FEE-029,Customer_005,SETTLEMENT,8935.0,160.83,28.95,8745.22,INR
G00144,2026-10-19,INV-F030-0,GW-900000144,BAT-FEE-030,Customer_016,SETTLEMENT,9697.0,193.94,34.91,9468.15,INR
G00145,2026-10-20,INV-F030-1,GW-900000145,BAT-FEE-030,Customer_016,SETTLEMENT,31509.0,567.16,102.09,30839.75,INR
G00146,2026-10-20,INV-F031-0,GW-900000146,BAT-FEE-031,Customer_027,SETTLEMENT,23900.0,478.0,86.04,23335.96,INR
G00147,2026-10-21,INV-F031-1,GW-900000147,BAT-FEE-031,Customer_027,SETTLEMENT,10006.0,240.14,43.23,9722.63,INR
G00148,2026-10-22,INV-F031-2,GW-900000148,BAT-FEE-031,Customer_027,SETTLEMENT,19832.0,426.39,76.75,19328.86,INR
G00149,2026-08-15,INV-F032-0,GW-900000149,BAT-FEE-032,Customer_038,SETTLEMENT,12178.0,213.12,38.36,11926.52,INR
G00150,2026-08-16,INV-F032-1,GW-900000150,BAT-FEE-032,Customer_038,SETTLEMENT,27229.0,585.42,105.38,26538.2,INR
G00151,2026-08-17,INV-F032-2,GW-900000151,BAT-FEE-032,Customer_038,SETTLEMENT,16833.0,361.91,65.14,16405.95,INR
G00152,2026-08-18,INV-F032-3,GW-900000152,BAT-FEE-032,Customer_038,SETTLEMENT,13786.0,248.15,44.67,13493.18,INR
G00153,2026-10-19,INV-F033-0,GW-900000153,BAT-FEE-033,Customer_049,SETTLEMENT,24604.0,492.08,88.57,24023.35,INR
G00154,2026-10-20,INV-F033-1,GW-900000154,BAT-FEE-033,Customer_049,SETTLEMENT,34775.0,608.56,109.54,34056.9,INR
G00155,2026-10-21,INV-F033-2,GW-900000155,BAT-FEE-033,Customer_049,SETTLEMENT,22447.0,538.73,96.97,21811.3,INR
G00156,2026-10-22,INV-F033-3,GW-900000156,BAT-FEE-033,Customer_049,SETTLEMENT,31012.0,744.29,133.97,30133.74,INR
G00157,2026-09-20,INV-F034-0,GW-900000157,BAT-FEE-034,Customer_060,SETTLEMENT,8949.0,214.78,38.66,8695.56,INR
G00158,2026-09-21,INV-F034-1,GW-900000158,BAT-FEE-034,Customer_060,SETTLEMENT,6292.0,135.28,24.35,6132.37,INR
G00159,2026-08-05,INV-F035-0,GW-900000159,BAT-FEE-035,Customer_071,SETTLEMENT,12608.0,220.64,39.72,12347.64,INR
G00160,2026-08-06,INV-F035-1,GW-900000160,BAT-FEE-035,Customer_071,SETTLEMENT,24499.0,526.73,94.81,23877.46,INR
G00161,2026-08-07,INV-F035-2,GW-900000161,BAT-FEE-035,Customer_071,SETTLEMENT,12380.0,247.6,44.57,12087.83,INR
G00162,2026-08-08,INV-F035-3,GW-900000162,BAT-FEE-035,Customer_071,SETTLEMENT,27789.0,486.31,87.54,27215.15,INR
G00163,2026-10-19,INV-F036-0,GW-900000163,BAT-FEE-036,Customer_002,SETTLEMENT,13346.0,320.3,57.65,12968.05,INR
G00164,2026-10-20,INV-F036-1,GW-900000164,BAT-FEE-036,Customer_002,SETTLEMENT,20311.0,406.22,73.12,19831.66,INR
G00165,2026-10-21,INV-F036-2,GW-900000165,BAT-FEE-036,Customer_002,SETTLEMENT,21962.0,472.18,84.99,21404.83,INR
G00166,2026-10-08,INV-F037-0,GW-900000166,BAT-FEE-037,Customer_013,SETTLEMENT,16000.0,384.0,69.12,15546.88,INR
G00167,2026-10-09,INV-F037-1,GW-900000167,BAT-FEE-037,Customer_013,SETTLEMENT,31142.0,544.99,98.1,30498.91,INR
G00168,2026-10-10,INV-F037-2,GW-900000168,BAT-FEE-037,Customer_013,SETTLEMENT,6176.0,123.52,22.23,6030.25,INR
G00169,2026-10-11,INV-F037-3,GW-900000169,BAT-FEE-037,Customer_013,SETTLEMENT,19867.0,397.34,71.52,19398.14,INR
G00170,2026-10-01,INV-F038-0,GW-900000170,BAT-FEE-038,Customer_024,SETTLEMENT,8858.0,155.02,27.9,8675.08,INR
G00171,2026-10-02,INV-F038-1,GW-900000171,BAT-FEE-038,Customer_024,SETTLEMENT,6304.0,151.3,27.23,6125.47,INR
G00172,2026-10-11,INV-F039-0,GW-900000172,BAT-FEE-039,Customer_035,SETTLEMENT,34304.0,686.08,123.49,33494.43,INR
G00173,2026-10-12,INV-F039-1,GW-900000173,BAT-FEE-039,Customer_035,SETTLEMENT,11074.0,193.8,34.88,10845.32,INR
G00174,2026-10-13,INV-F039-2,GW-900000174,BAT-FEE-039,Customer_035,SETTLEMENT,8280.0,178.02,32.04,8069.94,INR
G00175,2026-10-14,INV-F039-3,GW-900000175,BAT-FEE-039,Customer_035,SETTLEMENT,26674.0,573.49,103.23,25997.28,INR
G00176,2026-08-25,INV-NM000-0,GW-900000176,BAT-NM-000,Customer_010,SETTLEMENT,41063.0,0.0,0.0,41063.0,INR
G00177,2026-08-26,INV-NM000-1,GW-900000177,BAT-NM-000,Customer_010,SETTLEMENT,13868.0,0.0,0.0,13868.0,INR
G00178,2026-08-27,INV-NM000-2,GW-900000178,BAT-NM-000,Customer_010,SETTLEMENT,6290.0,0.0,0.0,6290.0,INR
G00179,2026-08-28,INV-NM000-3,GW-900000179,BAT-NM-000,Customer_010,SETTLEMENT,8982.0,0.0,0.0,8982.0,INR
G00180,2026-09-01,INV-NM001-0,GW-900000180,BAT-NM-001,Customer_023,SETTLEMENT,9229.0,0.0,0.0,9229.0,INR
G00181,2026-09-02,INV-NM001-1,GW-900000181,BAT-NM-001,Customer_023,SETTLEMENT,45450.0,0.0,0.0,45450.0,INR
G00182,2026-09-03,INV-NM001-2,GW-900000182,BAT-NM-001,Customer_023,SETTLEMENT,79434.0,0.0,0.0,79434.0,INR
G00183,2026-09-04,INV-NM001-3,GW-900000183,BAT-NM-001,Customer_023,SETTLEMENT,17164.0,0.0,0.0,17164.0,INR
G00184,2026-08-27,INV-NM002-0,GW-900000184,BAT-NM-002,Customer_036,SETTLEMENT,24245.0,0.0,0.0,24245.0,INR
G00185,2026-08-28,INV-NM002-1,GW-900000185,BAT-NM-002,Customer_036,SETTLEMENT,21738.0,0.0,0.0,21738.0,INR
G00186,2026-08-29,INV-NM002-2,GW-900000186,BAT-NM-002,Customer_036,SETTLEMENT,28365.0,0.0,0.0,28365.0,INR
G00187,2026-09-14,INV-NM003-0,GW-900000187,BAT-NM-003,Customer_049,SETTLEMENT,41511.0,0.0,0.0,41511.0,INR
G00188,2026-09-15,INV-NM003-1,GW-900000188,BAT-NM-003,Customer_049,SETTLEMENT,8693.0,0.0,0.0,8693.0,INR
G00189,2026-09-16,INV-NM003-2,GW-900000189,BAT-NM-003,Customer_049,SETTLEMENT,6049.0,0.0,0.0,6049.0,INR
G00190,2026-09-17,INV-NM003-3,GW-900000190,BAT-NM-003,Customer_049,SETTLEMENT,6016.0,0.0,0.0,6016.0,INR
G00191,2026-09-18,INV-NM003-4,GW-900000191,BAT-NM-003,Customer_049,SETTLEMENT,6015.0,0.0,0.0,6015.0,INR
G00192,2026-08-07,INV-NM004-0,GW-900000192,BAT-NM-004,Customer_062,SETTLEMENT,42930.0,0.0,0.0,42930.0,INR
G00193,2026-08-08,INV-NM004-1,GW-900000193,BAT-NM-004,Customer_062,SETTLEMENT,16150.0,0.0,0.0,16150.0,INR
G00194,2026-08-09,INV-NM004-2,GW-900000194,BAT-NM-004,Customer_062,SETTLEMENT,7255.0,0.0,0.0,7255.0,INR
G00195,2026-09-18,INV-NM005-0,GW-900000195,BAT-NM-005,Customer_075,SETTLEMENT,118059.0,0.0,0.0,118059.0,INR
