bank_txn_id,date,description,amount,currency,reference
B00065,2026-09-30,NET SETTLEMENT - FEES AGGREGATED,30044.31,INR,UTR-BATCH-014
B00066,2026-10-11,NET SETTLEMENT - FEES AGGREGATED,76565.38,INR,UTR-BATCH-015
B00067,2026-08-25,NET SETTLEMENT - FEES AGGREGATED,41717.29,INR,UTR-BATCH-016
B00068,2026-08-26,NET SETTLEMENT - FEES AGGREGATED,106290.52,INR,UTR-BATCH-017
B00069,2026-10-23,NET SETTLEMENT - FEES AGGREGATED,70515.21,INR,UTR-BATCH-018
B00070,2026-09-06,NET SETTLEMENT - FEES AGGREGATED,94478.17,INR,UTR-BATCH-019
B00071,2026-09-30,NET SETTLEMENT - FEES AGGREGATED,94346.53,INR,UTR-BATCH-020
B00072,2026-10-02,NET SETTLEMENT - FEES AGGREGATED,80195.7,INR,UTR-BATCH-021
B00073,2026-09-09,NET SETTLEMENT - FEES AGGREGATED,98397.08,INR,UTR-BATCH-022
B00074,2026-09-14,NET SETTLEMENT - FEES AGGREGATED,74580.2,INR,UTR-BATCH-023
B00075,2026-09-20,NET SETTLEMENT - FEES AGGREGATED,55047.12,INR,UTR-BATCH-024
B00076,2026-10-01,NET SETTLEMENT - FEES AGGREGATED,48957.06,INR,UTR-BATCH-025
B00077,2026-10-11,NET SETTLEMENT - FEES AGGREGATED,41568.28,INR,UTR-BATCH-026
B00078,2026-10-19,NET SETTLEMENT - FEES AGGREGATED,50174.63,INR,UTR-BATCH-027
B00079,2026-10-11,NET SETTLEMENT - FEES AGGREGATED,33356.74,INR,UTR-BATCH-028
B00080,2026-08-20,NET SETTLEMENT - FEES AGGREGATED,21415.93,INR,UTR-BATCH-029
B00081,2026-10-22,NET SETTLEMENT - FEES AGGREGATED,40307.9,INR,UTR-BATCH-030
B00082,2026-10-26,NET SETTLEMENT - FEES AGGREGATED,52387.45,INR,UTR-BATCH-031
B00083,2026-08-20,NET SETTLEMENT - FEES AGGREGATED,68363.85,INR,UTR-BATCH-032
B00084,2026-10-24,NET SETTLEMENT - FEES AGGREGATED,110025.29,INR,UTR-BATCH-033
B00085,2026-09-23,NET SETTLEMENT - FEES AGGREGATED,14827.93,INR,UTR-BATCH-034
B00086,2026-08-12,NET SETTLEMENT - FEES AGGREGATED,75528.08,INR,UTR-BATCH-035
B00087,2026-10-23,NET SETTLEMENT - FEES AGGREGATED,54204.54,INR,UTR-BATCH-036
B00088,2026-10-12,NET SETTLEMENT - FEES AGGREGATED,71474.18,INR,UTR-BATCH-037
B00089,2026-10-03,NET SETTLEMENT - FEES AGGREGATED,14800.55,INR,UTR-BATCH-038
B00090,2026-10-15,NET SETTLEMENT - FEES AGGREGATED,78406.97,INR,UTR-BATCH-039
B00091,2026-08-25,MIXED BULK COLLECTION,31054.0,INR,UTR-800000091
B00092,2026-08-31,MIXED BULK COLLECTION,22864.0,INR,UTR-800000092
B00093,2026-08-27,MIXED BULK COLLECTION,16285.0,INR,UTR-800000093
B00094,2026-09-02,MIXED BULK COLLECTION,85517.0,INR,UTR-800000094
B00095,2026-09-06,MIXED BULK COLLECTION,33318.0,INR,UTR-800000095
B00096,2026-09-05,MIXED BULK COLLECTION,32442.0,INR,UTR-800000096
B00097,2026-08-31,MIXED BULK COLLECTION,19841.0,INR,UTR-800000097
B00098,2026-09-05,MIXED BULK COLLECTION,9481.0,INR,UTR-800000098
B00099,2026-09-05,MIXED BULK COLLECTION,34054.0,INR,UTR-800000099
B00100,2026-09-05,MIXED BULK COLLECTION,10972.0,INR,UTR-800000100
B00101,2026-09-22,MIXED BULK COLLECTION,7744.0,INR,UTR-800000101
B00102,2026-09-19,MIXED BULK COLLECTION,21296.0,INR,UTR-800000102
B00103,2026-09-17,MIXED BULK COLLECTION,39244.0,INR,UTR-800000103
B00104,2026-08-11,MIXED BULK COLLECTION,50311.0,INR,UTR-800000104
B00105,2026-08-13,MIXED BULK COLLECTION,16024.0,INR,UTR-800000105
B00106,2026-09-24,MIXED BULK COLLECTION,63314.0,INR,UTR-800000106
B00107,2026-09-21,MIXED BULK COLLECTION,77489.0,INR,UTR-800000107
B00108,2026-08-30,MIXED BULK COLLECTION,24577.0,INR,UTR-800000108
B00109,2026-08-30,MIXED BULK COLLECTION,57684.0,INR,UTR-800000109
B00110,2026-09-01,MIXED BULK COLLECTION,30861.0,INR,UTR-800000110
B00111,2026-08-12,MIXED BULK COLLECTION,41552.0,INR,UTR-800000111
B00112,2026-08-13,MIXED BULK COLLECTION,59069.0,INR,UTR-800000112
B00113,2026-08-12,MIXED BULK COLLECTION,13705.0,INR,UTR-800000113
B00114,2026-08-11,MIXED BULK COLLECTION,35549.0,INR,UTR-800000114
B00115,2026-09-30,MIXED BULK COLLECTION,66718.0,INR,UTR-800000115
B00116,2026-10-01,MIXED BULK COLLECTION,9231.0,INR,UTR-800000116
B00117,2026-10-02,MIXED BULK COLLECTION,35996.0,INR,UTR-800000117
B00118,2026-10-06,MIXED BULK COLLECTION,16527.0,INR,UTR-800000118
B00119,2026-08-25,MIXED BULK COLLECTION,12446.0,INR,UTR-800000119
B00120,2026-08-29,MIXED BULK COLLECTION,13684.0,INR,UTR-800000120
B00121,2026-08-30,MIXED BULK COLLECTION,47841.0,INR,UTR-800000121
B00122,2026-10-12,MIXED BULK COLLECTION,70149.0,INR,UTR-800000122
B00123,2026-10-16,MIXED BULK COLLECTION,29522.0,INR,UTR-800000123
B00124,2026-10-11,MIXED BULK COLLECTION,7051.0,INR,UTR-800000124
B00125,2026-10-16,MIXED BULK COLLECTION,13888.0,INR,UTR-800000125
B00126,2026-09-07,MIXED BULK COLLECTION,75172.0,INR,UTR-800000126
B00127,2026-09-13,MIXED BULK COLLECTION,18104.0,INR,UTR-800000127
B00128,2026-08-11,MIXED BULK COLLECTION,67839.0,INR,UTR-800000128
B00129,2026-08-18,MIXED BULK COLLECTION,8455.0,INR,UTR-800000129
B00130,2026-08-13,MIXED BULK COLLECTION,11952.0,INR,UTR-800000130
B00131,2026-08-20,MIXED BULK COLLECTION,8168.0,INR,UTR-800000131
B00132,2026-08-28,MIXED BULK COLLECTION,73609.0,INR,UTR-800000132
B00133,2026-08-25,MIXED BULK COLLECTION,25895.0,INR,UTR-800000133
B00134,2026-08-25,MIXED BULK COLLECTION,7047.0,INR,UTR-800000134
B00135,2026-10-03,MIXED BULK COLLECTION,37473.0,INR,UTR-800000135
B00136,2026-10-03,MIXED BULK COLLECTION,8791.0,INR,UTR-800000136
B00137,2026-10-03,MIXED BULK COLLECTION,7016.0,INR,UTR-800000137
B00138,2026-10-07,MIXED BULK COLLECTION,13825.0,INR,UTR-800000138
B00139,2026-10-06,MIXED BULK COLLECTION,12801.0,INR,UTR-800000139
B00140,2026-10-01,MIXED BULK COLLECTION,80462.0,INR,UTR-800000140
B00141,2026-09-29,MIXED BULK COLLECTION,19077.0,INR,UTR-800000141
B00142,2026-08-17,MIXED BULK COLLECTION,62112.0,INR,UTR-800000142
B00143,2026-08-14,MIXED BULK COLLECTION,26484.0,INR,UTR-800000143
B00144,2026-08-14,MIXED BULK COLLECTION,7050.0,INR,UTR-800000144
B00145,2026-08-20,MIXED BULK COLLECTION,7591.0,INR,UTR-800000145
B00146,2026-08-23,MIXED BULK COLLECTION,7228.0,INR,UTR-800000146
B00147,2026-09-01,MIXED BULK COLLECTION,47990.0,INR,UTR-800000147
B00148,2026-09-06,MIXED BULK COLLECTION,75386.0,INR,UTR-800000148
B00149,2026-10-10,MIXED BULK COLLECTION,40104.0,INR,UTR-800000149
B00150,2026-10-16,MIXED BULK COLLECTION,6413.0,INR,UTR-800000150
B00151,2026-10-12,MIXED BULK COLLECTION,27538.0,INR,UTR-800000151
B00152,2026-08-13,MIXED BULK COLLECTION,67475.0,INR,UTR-800000152
B00153,2026-08-13,MIXED BULK COLLECTION,26181.0,INR,UTR-800000153
B00154,2026-08-10,MIXED BULK COLLECTION,18613.0,INR,UTR-800000154
B00155,2026-08-13,MIXED BULK COLLECTION,8543.0,INR,UTR-800000155
B00156,2026-09-07,MIXED BULK COLLECTION,10219.0,INR,UTR-800000156
B00157,2026-09-14,MIXED BULK COLLECTION,9145.0,INR,UTR-800000157
B00158,2026-09-12,MIXED BULK COLLECTION,8305.0,INR,UTR-800000158
B00159,2026-09-10,MIXED BULK COLLECTION,27368.0,INR,UTR-800000159
B00160,2026-09-11,MIXED BULK COLLECTION,20936.0,INR,UTR-800000160
B00161,2026-10-09,MIXED BULK COLLECTION,11603.0,INR,UTR-800000161
B00162,2026-10-13,MIXED BULK COLLECTION,17783.0,INR,UTR-800000162
B00163,2026-10-12,MIXED BULK COLLECTION,22776.0,INR,UTR-800000163
B00164,2026-10-17,MIXED BULK COLLECTION,10948.0,INR,UTR-800000164
B00165,2026-09-30,MIXED BULK COLLECTION,17408.0,INR,UTR-800000165
B00166,2026-10-01,MIXED BULK COLLECTION,74615.0,INR,UTR-800000166
B00167,2026-09-25,MIXED BULK COLLECTION,8745.0,INR,UTR-800000167
B00168,2026-09-28,MIXED BULK COLLECTION,23485.0,INR,UTR-800000168
B00169,2026-09-24,MIXED BULK COLLECTION,6983.0,INR,UTR-800000169
B00170,2026-10-03,MIXED BULK COLLECTION,20715.0,INR,UTR-800000170
B00171,2026-08-26,MIXED BULK COLLECTION,6524.0,INR,UTR-800000171
B00172,2026-08-25,MIXED BULK COLLECTION,49053.0,INR,UTR-800000172
B00173,2026-08-27,MIXED BULK COLLECTION,50168.0,INR,UTR-800000173
B00174,2026-10-01,MIXED BULK COLLECTION,39344.0,INR,UTR-800000174
B00175,2026-10-02,MIXED BULK COLLECTION,7772.0,INR,UTR-800000175
B00176,2026-10-06,MIXED BULK COLLECTION,8494.0,INR,UTR-800000176
B00177,2026-10-04,MIXED BULK COLLECTION,17808.0,INR,UTR-800000177
B00178,2026-08-30,MIXED BULK COLLECTION,95112.0,INR,UTR-800000178
B00179,2026-09-04,MIXED BULK COLLECTION,19167.0,INR,UTR-800000179
B00180,2026-08-30,MIXED BULK COLLECTION,37487.0,INR,UTR-800000180
B00181,2026-08-29,MIXED BULK COLLECTION,44449.0,INR,UTR-800000181
B00182,2026-08-25,MIXED BULK COLLECTION,25314.0,INR,UTR-800000182
B00183,2026-08-30,MIXED BULK COLLECTION,6772.0,INR,UTR-800000183
B00184,2026-09-06,MIXED BULK COLLECTION,42605.0,INR,UTR-800000184
B00185,2026-09-07,MIXED BULK COLLECTION,58528.0,INR,UTR-800000185
B00186,2026-09-11,MIXED BULK COLLECTION,13272.0,INR,UTR-800000186
B00187,2026-09-09,MIXED BULK COLLECTION,92349.0,INR,UTR-800000187
B00188,2026-09-14,MIXED BULK COLLECTION,24219.0,INR,UTR-800000188
B00189,2026-08-20,MIXED BULK COLLECTION,11319.0,INR,UTR-800000189
B00190,2026-08-21,MIXED BULK COLLECTION,24584.0,INR,UTR-800000190
B00191,2026-08-22,MIXED BULK COLLECTION,15055.0,INR,UTR-800000191
B00192,2026-08-21,MIXED BULK COLLECTION,11948.0,INR,UTR-800000192
B00193,2026-08-16,MIXED BULK COLLECTION,10946.0,INR,UTR-800000193
B00194,2026-08-04,MIXED BULK COLLECTION,28167.0,INR,UTR-800000194
B00195,2026-08-11,MIXED BULK COLLECTION,65988.0,INR,UTR-800000195
B00196,2026-08-06,MIXED BULK COLLECTION,16795.0,INR,UTR-800000196
B00197,2026-08-15,MIXED BULK COLLECTION,6800.0,INR,UTR-800000197
B00198,2026-08-13,MIXED BULK COLLECTION,6011.0,INR,UTR-800000198
B00199,2026-08-11,MIXED BULK COLLECTION,7397.0,INR,UTR-800000199
B00200,2026-08-14,MIXED BULK COLLECTION,78504.0,INR,UTR-800000200
B00201,2026-09-28,MIXED BULK COLLECTION,41815.0,INR,UTR-800000201
B00202,2026-09-28,MIXED BULK COLLECTION,72506.0,INR,UTR-800000202
B00203,2026-10-05,MIXED BULK COLLECTION,18349.0,INR,UTR-800000203
B00204,2026-10-01,MIXED BULK COLLECTION,6745.0,INR,UTR-800000204
B00205,2026-09-19,MIXED BULK COLLECTION,68230.0,INR,UTR-800000205
B00206,2026-09-21,MIXED BULK COLLECTION,9339.0,INR,UTR-800000206
B00207,2026-09-17,MIXED BULK COLLECTION,72297.0,INR,UTR-800000207
B00208,2026-08-23,PARTIAL SETTLEMENT,21541.0,INR,UTR-800000208
B00209,2026-08-24,PARTIAL SETTLEMENT,15172.0,INR,UTR-800000209
B00210,2026-09-16,PARTIAL SETTLEMENT,5701.0,INR,UTR-800000210
B00211,2026-09-17,PARTIAL SETTLEMENT,50785.0,INR,UTR-800000211
B00212,2026-09-25,PARTIAL SETTLEMENT,17687.0,INR,UTR-800000212
B00213,2026-09-26,PARTIAL SETTLEMENT,5543.0,INR,UTR-800000213
B00214,2026-09-27,PARTIAL SETTLEMENT,10605.0,INR,UTR-800000214
B00215,2026-10-21,PARTIAL SETTLEMENT,5646.0,INR,UTR-800000215
B00216,2026-10-22,PARTIAL SETTLEMENT,11274.0,INR,UTR-800000216
B00217,2026-10-23,PARTIAL SETTLEMENT,11824.0,INR,UTR-800000217
B00218,2026-09-24,PARTIAL SETTLEMENT,16174.0,INR,UTR-800000218
B00219,2026-09-25,PARTIAL SETTLEMENT,56361.0,INR,UTR-800000219
B00220,2026-09-04,PARTIAL SETTLEMENT,51915.0,INR,UTR-800000220
B00221,2026-09-05,PARTIAL SETTLEMENT,1283.0,INR,UTR-800000221
B00222,2026-09-06,PARTIAL SETTLEMENT,7763.0,INR,UTR-800000222
B00223,2026-10-05,PARTIAL SETTLEMENT,20678.0,INR,UTR-800000223
B00224,2026-10-06,PARTIAL SETTLEMENT,2250.0,INR,UTR-800000224
B00225,2026-10-07,PARTIAL SETTLEMENT,1559.0,INR,UTR-800000225
B00226,2026-10-09,PARTIAL SETTLEMENT,13208.0,INR,UTR-800000226
B00227,2026-10-10,PARTIAL SETTLEMENT,22066.0,INR,UTR-800000227
B00228,2026-10-19,PARTIAL SETTLEMENT,59579.0,INR,UTR-800000228
B00229,2026-09-29,PARTIAL SETTLEMENT,11596.0,INR,UTR-800000229
B00230,2026-09-30,PARTIAL SETTLEMENT,48719.0,INR,UTR-800000230
B00231,2026-08-30,PARTIAL SETTLEMENT,48624.0,INR,UTR-800000231
B00232,2026-08-31,PARTIAL SETTLEMENT,20452.0,INR,UTR-800000232
B00233,2026-09-15,PARTIAL SETTLEMENT,18296.0,INR,UTR-800000233
B00234,2026-09-16,PARTIAL SETTLEMENT,3142.0,INR,UTR-800000234
B00235,2026-09-17,PARTIAL SETTLEMENT,13498.0,INR,UTR-800000235
B00236,2026-09-06,PARTIAL SETTLEMENT,27949.0,INR,UTR-800000236
B00237,2026-09-11,PARTIAL SETTLEMENT,17606.0,INR,UTR-800000237
B00238,2026-10-19,PARTIAL SETTLEMENT,21044.0,INR,UTR-800000238
B00239,2026-10-20,PARTIAL SETTLEMENT,42181.0,INR,UTR-800000239
B00240,2026-08-09,PARTIAL SETTLEMENT,15214.0,INR,UTR-800000240
B00241,2026-08-10,PARTIAL SETTLEMENT,3071.0,INR,UTR-800000241
B00242,2026-08-30,PARTIAL SETTLEMENT,53963.0,INR,UTR-800000242
B00243,2026-08-31,PARTIAL SETTLEMENT,12278.0,INR,UTR-800000243
B00244,2026-09-01,PARTIAL SETTLEMENT,10845.0,INR,UTR-800000244
B00245,2026-09-02,PARTIAL SETTLEMENT,23044.0,INR,UTR-800000245
B00246,2026-09-03,PARTIAL SETTLEMENT,12538.0,INR,UTR-800000246
B00247,2026-09-04,PARTIAL SETTLEMENT,19514.0,INR,UTR-800000247
B00248,2026-09-28,PARTIAL SETTLEMENT,48435.0,INR,UTR-800000248
B00249,2026-09-29,PARTIAL SETTLEMENT,4025.0,INR,UTR-800000249
B00250,2026-09-30,PARTIAL SETTLEMENT,11444.0,INR,UTR-800000250
B00251,2026-09-09,PARTIAL SETTLEMENT,12195.0,INR,UTR-800000251
B00252,2026-09-10,PARTIAL SETTLEMENT,5077.0,INR,UTR-800000252
B00253,2026-09-03,PARTIAL SETTLEMENT,21448.0,INR,UTR-800000253
B00254,2026-08-03,PARTIAL SETTLEMENT,3414.0,INR,UTR-800000254
B00255,2026-08-04,PARTIAL SETTLEMENT,14000.0,INR,UTR-800000255
B00256,2026-09-12,PARTIAL SETTLEMENT,47469.0,INR,UTR-800000256
B00257,2026-10-11,PARTIAL SETTLEMENT,27786.0,INR,UTR-800000257
B00258,2026-10-12,PARTIAL SETTLEMENT,2659.0,INR,UTR-800000258
B00259,2026-09-22,PARTIAL SETTLEMENT,15390.0,INR,UTR-800000259
B00260,2026-09-23,PARTIAL SETTLEMENT,24062.0,INR,UTR-800000260
B00261,2026-09-24,PARTIAL SETTLEMENT,6370.0,INR,UTR-800000261
B00262,2026-10-02,PARTIAL SETTLEMENT,5640.0,INR,UTR-800000262
B00263,2026-10-03,PARTIAL SETTLEMENT,20593.0,INR,UTR-800000263
B00264,2026-10-04,PARTIAL SETTLEMENT,4374.0,INR,UTR-800000264
B00265,2026-09-25,PARTIAL SETTLEMENT,10008.0,INR,UTR-800000265
B00266,2026-09-26,PARTIAL SETTLEMENT,46497.0,INR,UTR-800000266
B00267,2026-09-11,PARTIAL SETTLEMENT,16075.0,INR,UTR-800000267
B00268,2026-09-12,PARTIAL SETTLEMENT,13470.0,INR,UTR-800000268
B00269,2026-09-13,PARTIAL SETTLEMENT,2119.0,INR,UTR-800000269
B00270,2026-10-06,PARTIAL SETTLEMENT,2051.0,INR,UTR-800000270
B00271,2026-10-07,PARTIAL SETTLEMENT,12962.0,INR,UTR-800000271
B00272,2026-10-14,NET AFTER REFUND / REVERSAL,87478.85,INR,UTR-800000272
B00273,2026-08-17,NET AFTER REFUND / REVERSAL,33797.52,INR,UTR-800000273
B00274,2026-10-15,NET AFTER REFUND / REVERSAL,50193.56,INR,UTR-800000274
B00275,2026-08-21,NET AFTER REFUND / REVERSAL,57415.8,INR,UTR-800000275
B00276,2026-10-13,NET AFTER REFUND / REVERSAL,96009.72,INR,UTR-800000276
B00277,2026-08-26,NET AFTER REFUND / REVERSAL,61397.02,INR,UTR-800000277
B00278,2026-09-29,NET AFTER REFUND / REVERSAL,74134.6,INR,UTR-800000278
B00279,2026-10-09,NET AFTER REFUND / REVERSAL,21219.41,INR,UTR-800000279
B00280,2026-09-10,NET AFTER REFUND / REVERSAL,91139.56,INR,UTR-800000280
B00281,2026-09-02,NET AFTER REFUND / REVERSAL,58888.79,INR,UTR-800000281
B00282,2026-09-29,NET AFTER REFUND / REVERSAL,52886.5,INR,UTR-800000282
B00283,2026-09-08,NET AFTER REFUND / REVERSAL,82498.98,INR,UTR-800000283
B00284,2026-10-14,NET AFTER REFUND / REVERSAL,63194.0,INR,UTR-800000284
B00285,2026-10-17,NET AFTER REFUND / REVERSAL,33543.49,INR,UTR-800000285
B00286,2026-09-13,NET AFTER REFUND / REVERSAL,57436.23,INR,UTR-800000286
B00287,2026-09-28,NET AFTER REFUND / REVERSAL,24025.58,INR,UTR-800000287
B00288,2026-09-22,NET AFTER REFUND / REVERSAL,30408.58,INR,UTR-800000288
B00289,2026-08-18,NET AFTER REFUND / REVERSAL,66958.27,INR,UTR-800000289
B00290,2026-09-16,NET AFTER REFUND / REVERSAL,63774.98,INR,UTR-800000290
B00291,2026-09-10,NET AFTER REFUND / REVERSAL,41808.83,INR,UTR-800000291
B00292,2026-10-02,NET AFTER REFUND / REVERSAL,31910.95,INR,UTR-800000292
B00293,2026-09-09,NET AFTER REFUND / REVERSAL,50166.16,INR,UTR-800000293
B00294,2026-10-04,NET AFTER REFUND / REVERSAL,92327.82,INR,UTR-800000294
B00295,2026-08-16,NET AFTER REFUND / REVERSAL,38025.59,INR,UTR-800000295
B00296,2026-10-17,NET AFTER REFUND / REVERSAL,26656.74,INR,UTR-800000296
B00297,2026-09-29,NET AFTER REFUND / REVERSAL,56923.1,INR,UTR-800000297
B00298,2026-08-25,NET AFTER REFUND / REVERSAL,32313.89,INR,UTR-800000298
B00299,2026-10-10,NET AFTER REFUND / REVERSAL,53390.09,INR,UTR-800000299
B00300,2026-10-07,NET AFTER REFUND / REVERSAL,57621.73,INR,UTR-800000300
B00301,2026-09-10,NET AFTER REFUND / REVERSAL,71665.88,INR,UTR-800000301
B00302,2026-08-30,PAY Customer_001,25000.0,INR,UTR-DUP-000-A
B00303,2026-08-31,PAY Customer_002,25000.0,INR,UTR-DUP-000-B
B00304,2026-08-27,PAY Customer_006,15000.0,INR,UTR-DUP-001-A
B00305,2026-08-28,PAY Customer_007,15000.0,INR,UTR-DUP-001-B
B00306,2026-08-15,PAY Customer_011,10000.0,INR,UTR-DUP-002-A
B00307,2026-08-16,PAY Customer_012,10000.0,INR,UTR-DUP-002-B
B00308,2026-09-04,PAY Customer_016,30000.0,INR,UTR-DUP-003-A
B00309,2026-09-05,PAY Customer_017,30000.0,INR,UTR-DUP-003-B
B00310,2026-09-20,PAY Customer_021,15000.0,INR,UTR-DUP-004-A
B00311,2026-09-21,PAY Customer_022,15000.0,INR,UTR-DUP-004-B
B00312,2026-08-27,PAY Customer_026,12500.0,INR,UTR-DUP-005-A
B00313,2026-08-28,PAY Customer_027,12500.0,INR,UTR-DUP-005-B
B00314,2026-08-13,PAY Customer_031,20000.0,INR,UTR-DUP-006-A
B00315,2026-08-14,PAY Customer_032,20000.0,INR,UTR-DUP-006-B
B00316,2026-10-07,PAY Customer_036,12500.0,INR,UTR-DUP-007-A
B00317,2026-10-08,PAY Customer_037,12500.0,INR,UTR-DUP-007-B
B00318,2026-09-20,PAY Customer_041,40000.0,INR,UTR-DUP-008-A
B00319,2026-09-21,PAY Customer_042,40000.0,INR,UTR-DUP-008-B
B00320,2026-10-12,PAY Customer_046,20000.0,INR,UTR-DUP-009-A
B00321,2026-10-13,PAY Customer_047,20000.0,INR,UTR-DUP-009-B
B00322,2026-09-27,PAY Customer_051,30000.0,INR,UTR-DUP-010-A
B00323,2026-09-28,PAY Customer_052,30000.0,INR,UTR-DUP-010-B
B00324,2026-09-29,PAY Customer_056,15000.0,INR,UTR-DUP-011-A
B00325,2026-09-30,PAY Customer_057,15000.0,INR,UTR-DUP-011-B
B00326,2026-09-05,PAY Customer_061,15000.0,INR,UTR-DUP-012-A
