gateway_txn_id,event_date,merchant_ref,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G079,2026-08-29,PAY0056,Customer_26,Settlement,3664,0.0,0.0,3664.0,INR
G080,2026-08-30,PAY0056,Customer_26,Settlement,7065,0.0,0.0,7065.0,INR
G081,2026-08-02,PAY0057,Customer_27,Settlement,6820,0.0,0.0,6820.0,INR
G082,2026-08-03,PAY0057,Customer_27,Settlement,4432,0.0,0.0,4432.0,INR
G083,2026-08-04,PAY0057,Customer_27,Settlement,11980,0.0,0.0,11980.0,INR
G084,2026-08-03,PAY0058,Customer_28,Settlement,5374,0.0,0.0,5374.0,INR
G085,2026-08-04,PAY0058,Customer_28,Settlement,11617,0.0,0.0,11617.0,INR
G086,2026-08-04,PAY0059,Customer_29,Settlement,2169,0.0,0.0,2169.0,INR
G087,2026-08-05,PAY0059,Customer_29,Settlement,10980,0.0,0.0,10980.0,INR
G088,2026-08-06,PAY0059,Customer_29,Settlement,11403,0.0,0.0,11403.0,INR
G089,2026-08-05,PAY0060,Customer_30,Settlement,3803,0.0,0.0,3803.0,INR
G090,2026-08-06,PAY0060,Customer_30,Settlement,9751,0.0,0.0,9751.0,INR
G091,2026-08-06,PAY0061,Customer_01,Settlement,62784,0.0,0.0,62784.0,INR
G092,2026-08-07,PAY0062,Customer_02,Settlement,25708,0.0,0.0,25708.0,INR
G093,2026-08-08,PAY0063,Customer_03,Settlement,32691,0.0,0.0,32691.0,INR
G094,2026-08-09,PAY0064,Customer_04,Settlement,60099,0.0,0.0,60099.0,INR
G095,2026-08-10,PAY0065,Customer_05,Settlement,59866,0.0,0.0,59866.0,INR
G096,2026-08-11,PAY0066,Customer_06,Settlement,65352,0.0,0.0,65352.0,INR
G097,2026-08-12,PAY0067,Customer_07,Settlement,30010,0.0,0.0,30010.0,INR
G098,2026-08-13,PAY0068,Customer_08,Settlement,67759,0.0,0.0,67759.0,INR
G099,2026-08-14,PAY0069,Customer_09,Settlement,32546,0.0,0.0,32546.0,INR
G100,2026-08-15,PAY0070,Customer_10,Settlement,28826,0.0,0.0,28826.0,INR
G101,2026-08-16,PAY0071,Customer_11,Settlement,28934,0.0,0.0,28934.0,INR
G102,2026-08-17,PAY0072,Customer_12,Settlement,47717,0.0,0.0,47717.0,INR
G103,2026-08-18,PAY0073,Customer_13,Settlement,45071,0.0,0.0,45071.0,INR
G104,2026-08-19,PAY0074,Customer_14,Settlement,32359,0.0,0.0,32359.0,INR
G105,2026-08-20,PAY0075,Customer_15,Settlement,63823,0.0,0.0,63823.0,INR
G106,2026-08-21,PAY0076,Customer_16,Settlement,13609,0.0,0.0,13609.0,INR
G107,2026-08-22,PAY0076,Customer_16,Settlement,51713,0.0,0.0,51713.0,INR
G108,2026-08-22,PAY0077,Customer_17,Settlement,24121,0.0,0.0,24121.0,INR
G109,2026-08-23,PAY0077,Customer_17,Settlement,33956,0.0,0.0,33956.0,INR
G110,2026-08-23,PAY0078,Customer_18,Settlement,12186,0.0,0.0,12186.0,INR
G111,2026-08-24,PAY0078,Customer_18,Settlement,7266,0.0,0.0,7266.0,INR
G112,2026-08-25,PAY0078,Customer_18,Settlement,34271,0.0,0.0,34271.0,INR
G113,2026-08-24,PAY0079,Customer_19,Settlement,17382,0.0,0.0,17382.0,INR
G114,2026-08-25,PAY0079,Customer_19,Settlement,18575,0.0,0.0,18575.0,INR
G115,2026-08-25,PAY0080,Customer_20,Settlement,12185,0.0,0.0,12185.0,INR
G116,2026-08-26,PAY0080,Customer_20,Settlement,74248,0.0,0.0,74248.0,INR
G117,2026-08-26,PAY0081,Customer_21,Settlement,17977,0.0,0.0,17977.0,INR
G118,2026-08-27,PAY0081,Customer_21,Settlement,10574,0.0,0.0,10574.0,INR
G119,2026-08-28,PAY0081,Customer_21,Settlement,11933,0.0,0.0,11933.0,INR
G120,2026-08-27,PAY0082,Customer_22,Settlement,7081,0.0,0.0,7081.0,INR
G121,2026-08-28,PAY0082,Customer_22,Settlement,62005,0.0,0.0,62005.0,INR
G122,2026-08-28,PAY0083,Customer_23,Settlement,20337,0.0,0.0,20337.0,INR
G123,2026-08-29,PAY0083,Customer_23,Settlement,48715,0.0,0.0,48715.0,INR
G124,2026-08-29,PAY0084,Customer_24,Settlement,23128,0.0,0.0,23128.0,INR
G125,2026-08-30,PAY0084,Customer_24,Settlement,5094,0.0,0.0,5094.0,INR
G126,2026-08-31,PAY0084,Customer_24,Settlement,18254,0.0,0.0,18254.0,INR
G127,2026-08-02,PAY0085,Customer_25,Settlement,16169,0.0,0.0,16169.0,INR
G128,2026-08-03,PAY0085,Customer_25,Settlement,21338,0.0,0.0,21338.0,INR
G129,2026-08-03,PAY0086,Customer_26,Settlement,32486,649.72,116.95,31719.33,INR
G130,2026-08-04,PAY0087,Customer_27,Settlement,57006,1140.12,205.22,55660.66,INR
G131,2026-08-05,PAY0088,Customer_28,Settlement,37293,745.86,134.25,36412.89,INR
G132,2026-08-06,PAY0089,Customer_29,Settlement,22310,446.2,80.32,21783.48,INR
G133,2026-08-07,PAY0090,Customer_30,Settlement,34234,684.68,123.24,33426.08,INR
G134,2026-08-08,PAY0091,Customer_01,Charge,48492,0.0,0.0,48492.0,INR
G135,2026-08-09,PAY0091,Customer_01,Partial Refund,-3591,0.0,0.0,-3591.0,INR
G136,2026-08-09,PAY0092,Customer_02,Charge,49735,0.0,0.0,49735.0,INR
G137,2026-08-10,PAY0092,Customer_02,Partial Refund,-1053,0.0,0.0,-1053.0,INR
G138,2026-08-10,PAY0093,Customer_03,Charge,67323,0.0,0.0,67323.0,INR
G139,2026-08-11,PAY0093,Customer_03,Partial Refund,-9630,0.0,0.0,-9630.0,INR
G140,2026-08-11,PAY0094,Customer_04,Charge,52806,0.0,0.0,52806.0,INR
G141,2026-08-12,PAY0094,Customer_04,Partial Refund,-6854,0.0,0.0,-6854.0,INR
G142,2026-08-12,PAY0095,Customer_05,Charge,53271,0.0,0.0,53271.0,INR
G143,2026-08-13,PAY0095,Customer_05,Partial Refund,-4486,0.0,0.0,-4486.0,INR
G144,2026-08-14,PAY0098,Customer_08,Settlement,25937,0.0,0.0,25937.0,INR
G145,2026-08-16,PAY0099,Customer_09,Settlement,20000,0.0,0.0,20000.0,INR
G146,2026-08-17,PAY0100,Customer_10,Settlement,25000,0.0,0.0,25000.0,INR
