gateway_txn_id,event_date,merchant_ref,gateway_ref,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G0055,2026-07-25,BULK-42-4,GW90000055,Customer_13,SETTLEMENT,13072.0,0.0,0.0,13072.0,INR
G0056,2026-07-16,BULK-43-1,GW90000056,Customer_24,SETTLEMENT,2919.0,0.0,0.0,2919.0,INR
G0057,2026-07-17,BULK-43-2,GW90000057,Customer_24,SETTLEMENT,7063.0,0.0,0.0,7063.0,INR
G0058,2026-07-18,BULK-43-3,GW90000058,Customer_24,SETTLEMENT,5009.0,0.0,0.0,5009.0,INR
G0059,2026-07-19,BULK-43-4,GW90000059,Customer_24,SETTLEMENT,10158.0,0.0,0.0,10158.0,INR
G0060,2026-07-25,BULK-44-1,GW90000060,Customer_35,SETTLEMENT,10730.0,0.0,0.0,10730.0,INR
G0061,2026-07-26,BULK-44-2,GW90000061,Customer_35,SETTLEMENT,7186.0,0.0,0.0,7186.0,INR
G0062,2026-07-27,BULK-44-3,GW90000062,Customer_35,SETTLEMENT,13785.0,0.0,0.0,13785.0,INR
G0063,2026-07-28,BULK-44-4,GW90000063,Customer_35,SETTLEMENT,12029.0,0.0,0.0,12029.0,INR
G0064,2026-07-21,BULK-45-1,GW90000064,Customer_46,SETTLEMENT,8898.0,0.0,0.0,8898.0,INR
G0065,2026-07-22,BULK-45-2,GW90000065,Customer_46,SETTLEMENT,8932.0,0.0,0.0,8932.0,INR
G0066,2026-07-23,BULK-45-3,GW90000066,Customer_46,SETTLEMENT,5844.0,0.0,0.0,5844.0,INR
G0067,2026-07-24,BULK-45-4,GW90000067,Customer_46,SETTLEMENT,8589.0,0.0,0.0,8589.0,INR
G0068,2026-08-15,BULK-46-1,GW90000068,Customer_07,SETTLEMENT,4359.0,0.0,0.0,4359.0,INR
G0069,2026-08-16,BULK-46-2,GW90000069,Customer_07,SETTLEMENT,3718.0,0.0,0.0,3718.0,INR
G0070,2026-08-17,BULK-46-3,GW90000070,Customer_07,SETTLEMENT,2953.0,0.0,0.0,2953.0,INR
G0071,2026-08-18,BULK-46-4,GW90000071,Customer_07,SETTLEMENT,11941.0,0.0,0.0,11941.0,INR
G0072,2026-08-12,BULK-47-1,GW90000072,Customer_18,SETTLEMENT,11602.0,0.0,0.0,11602.0,INR
G0073,2026-08-13,BULK-47-2,GW90000073,Customer_18,SETTLEMENT,10303.0,0.0,0.0,10303.0,INR
G0074,2026-08-14,BULK-47-3,GW90000074,Customer_18,SETTLEMENT,11183.0,0.0,0.0,11183.0,INR
G0075,2026-08-15,BULK-47-4,GW90000075,Customer_18,SETTLEMENT,8839.0,0.0,0.0,8839.0,INR
G0076,2026-07-18,BULK-48-1,GW90000076,Customer_29,SETTLEMENT,5552.0,0.0,0.0,5552.0,INR
G0077,2026-07-19,BULK-48-2,GW90000077,Customer_29,SETTLEMENT,5898.0,0.0,0.0,5898.0,INR
G0078,2026-07-28,BULK-49-1,GW90000078,Customer_40,SETTLEMENT,10840.0,0.0,0.0,10840.0,INR
G0079,2026-07-29,BULK-49-2,GW90000079,Customer_40,SETTLEMENT,12490.0,0.0,0.0,12490.0,INR
G0080,2026-07-30,BULK-49-3,GW90000080,Customer_40,SETTLEMENT,11892.0,0.0,0.0,11892.0,INR
G0081,2026-07-06,BULK-50-1,GW90000081,Customer_01,SETTLEMENT,5420.0,0.0,0.0,5420.0,INR
G0082,2026-07-07,BULK-50-2,GW90000082,Customer_01,SETTLEMENT,8901.0,0.0,0.0,8901.0,INR
G0083,2026-07-08,BULK-50-3,GW90000083,Customer_01,SETTLEMENT,9086.0,0.0,0.0,9086.0,INR
G0084,2026-07-09,BULK-50-4,GW90000084,Customer_01,SETTLEMENT,5084.0,0.0,0.0,5084.0,INR
G0085,2026-07-27,BULK-51-1,GW90000085,Customer_12,SETTLEMENT,12238.0,0.0,0.0,12238.0,INR
G0086,2026-07-28,BULK-51-2,GW90000086,Customer_12,SETTLEMENT,7391.0,0.0,0.0,7391.0,INR
G0087,2026-07-19,BULK-52-1,GW90000087,Customer_23,SETTLEMENT,10324.0,0.0,0.0,10324.0,INR
G0088,2026-07-20,BULK-52-2,GW90000088,Customer_23,SETTLEMENT,9081.0,0.0,0.0,9081.0,INR
G0089,2026-07-21,BULK-52-3,GW90000089,Customer_23,SETTLEMENT,3013.0,0.0,0.0,3013.0,INR
G0090,2026-07-29,BULK-53-1,GW90000090,Customer_34,SETTLEMENT,4458.0,0.0,0.0,4458.0,INR
G0091,2026-07-30,BULK-53-2,GW90000091,Customer_34,SETTLEMENT,4694.0,0.0,0.0,4694.0,INR
G0092,2026-07-31,BULK-53-3,GW90000092,Customer_34,SETTLEMENT,11136.0,0.0,0.0,11136.0,INR
G0093,2026-07-28,BULK-54-1,GW90000093,Customer_45,SETTLEMENT,5175.0,0.0,0.0,5175.0,INR
G0094,2026-07-29,BULK-54-2,GW90000094,Customer_45,SETTLEMENT,7719.0,0.0,0.0,7719.0,INR
G0095,2026-08-21,BULK-55-1,GW90000095,Customer_06,SETTLEMENT,12018.0,0.0,0.0,12018.0,INR
G0096,2026-08-22,BULK-55-2,GW90000096,Customer_06,SETTLEMENT,4952.0,0.0,0.0,4952.0,INR
G0097,2026-08-23,BULK-55-3,GW90000097,Customer_06,SETTLEMENT,11247.0,0.0,0.0,11247.0,INR
G0098,2026-08-24,BULK-55-4,GW90000098,Customer_06,SETTLEMENT,11035.0,0.0,0.0,11035.0,INR
G0099,2026-08-20,BULK-56-1,GW90000099,Customer_17,SETTLEMENT,5740.0,0.0,0.0,5740.0,INR
G0100,2026-08-21,BULK-56-2,GW90000100,Customer_17,SETTLEMENT,3399.0,0.0,0.0,3399.0,INR
G0101,2026-08-06,BULK-57-1,GW90000101,Customer_28,SETTLEMENT,6622.0,0.0,0.0,6622.0,INR
G0102,2026-08-07,BULK-57-2,GW90000102,Customer_28,SETTLEMENT,13140.0,0.0,0.0,13140.0,INR
G0103,2026-08-08,BULK-57-3,GW90000103,Customer_28,SETTLEMENT,6027.0,0.0,0.0,6027.0,INR
G0104,2026-08-09,BULK-57-4,GW90000104,Customer_28,SETTLEMENT,13679.0,0.0,0.0,13679.0,INR
G0105,2026-08-16,BULK-58-1,GW90000105,Customer_39,SETTLEMENT,7827.0,0.0,0.0,7827.0,INR
G0106,2026-08-17,BULK-58-2,GW90000106,Customer_39,SETTLEMENT,9845.0,0.0,0.0,9845.0,INR
G0107,2026-07-25,BULK-59-1,GW90000107,Customer_50,SETTLEMENT,5846.0,0.0,0.0,5846.0,INR
G0108,2026-07-26,BULK-59-2,GW90000108,Customer_50,SETTLEMENT,10404.0,0.0,0.0,10404.0,INR
G0109,2026-08-06,BULK-60-1,GW90000109,Customer_11,SETTLEMENT,3232.0,0.0,0.0,3232.0,INR
G0110,2026-08-07,BULK-60-2,GW90000110,Customer_11,SETTLEMENT,4579.0,0.0,0.0,4579.0,INR
G0111,2026-07-24,BULK-61-1,GW90000111,Customer_22,SETTLEMENT,13881.0,0.0,0.0,13881.0,INR
G0112,2026-07-25,BULK-61-2,GW90000112,Customer_22,SETTLEMENT,7459.0,0.0,0.0,7459.0,INR
G0113,2026-07-22,BULK-62-1,GW90000113,Customer_33,SETTLEMENT,9203.0,0.0,0.0,9203.0,INR
G0114,2026-07-23,BULK-62-2,GW90000114,Customer_33,SETTLEMENT,2692.0,0.0,0.0,2692.0,INR
G0115,2026-07-24,BULK-62-3,GW90000115,Customer_33,SETTLEMENT,5702.0,0.0,0.0,5702.0,INR
G0116,2026-07-31,BULK-63-1,GW90000116,Customer_44,SETTLEMENT,7877.0,0.0,0.0,7877.0,INR
G0117,2026-08-01,BULK-63-2,GW90000117,Customer_44,SETTLEMENT,13863.0,0.0,0.0,13863.0,INR
G0118,2026-07-10,BULK-64-1,GW90000118,Customer_05,SETTLEMENT,10247.0,0.0,0.0,10247.0,INR
G0119,2026-07-11,BULK-64-2,GW90000119,Customer_05,SETTLEMENT,2936.0,0.0,0.0,2936.0,INR
G0120,2026-07-03,BULK-65-1,GW90000120,Customer_16,SETTLEMENT,7246.0,0.0,0.0,7246.0,INR
G0121,2026-07-04,BULK-65-2,GW90000121,Customer_16,SETTLEMENT,3350.0,0.0,0.0,3350.0,INR
G0122,2026-07-05,BULK-65-3,GW90000122,Customer_16,SETTLEMENT,4603.0,0.0,0.0,4603.0,INR
G0123,2026-08-05,SPLIT-66,GW90000123,Customer_09,SETTLEMENT,45473.0,0.0,0.0,45473.0,INR
G0124,2026-07-29,SPLIT-67,GW90000124,Customer_22,SETTLEMENT,59717.0,0.0,0.0,59717.0,INR
G0125,2026-07-10,SPLIT-68,GW90000125,Customer_35,SETTLEMENT,55144.0,0.0,0.0,55144.0,INR
G0126,2026-07-07,SPLIT-69,GW90000126,Customer_48,SETTLEMENT,44434.0,0.0,0.0,44434.0,INR
G0127,2026-07-14,SPLIT-70,GW90000127,Customer_11,SETTLEMENT,30939.0,0.0,0.0,30939.0,INR
G0128,2026-08-04,SPLIT-71,GW90000128,Customer_24,SETTLEMENT,34597.0,0.0,0.0,34597.0,INR
G0129,2026-07-18,SPLIT-72,GW90000129,Customer_37,SETTLEMENT,32381.0,0.0,0.0,32381.0,INR
G0130,2026-07-14,SPLIT-73,GW90000130,Customer_50,SETTLEMENT,22159.0,0.0,0.0,22159.0,INR
G0131,2026-08-07,SPLIT-74,GW90000131,Customer_13,SETTLEMENT,31182.0,0.0,0.0,31182.0,INR
G0132,2026-08-21,SPLIT-75,GW90000132,Customer_26,SETTLEMENT,39111.0,0.0,0.0,39111.0,INR
G0133,2026-08-19,SPLIT-76,GW90000133,Customer_39,SETTLEMENT,54366.0,0.0,0.0,54366.0,INR
G0134,2026-08-12,SPLIT-77,GW90000134,Customer_02,SETTLEMENT,28873.0,0.0,0.0,28873.0,INR
G0135,2026-07-27,SPLIT-78,GW90000135,Customer_15,SETTLEMENT,64379.0,0.0,0.0,64379.0,INR
G0136,2026-07-08,SPLIT-79,GW90000136,Customer_28,SETTLEMENT,53381.0,0.0,0.0,53381.0,INR
G0137,2026-07-14,SPLIT-80,GW90000137,Customer_41,SETTLEMENT,28761.0,0.0,0.0,28761.0,INR
G0138,2026-08-06,SPLIT-81,GW90000138,Customer_04,SETTLEMENT,61717.0,0.0,0.0,61717.0,INR
G0139,2026-08-06,SPLIT-82,GW90000139,Customer_17,SETTLEMENT,30324.0,0.0,0.0,30324.0,INR
G0140,2026-08-11,SPLIT-83,GW90000140,Customer_30,SETTLEMENT,45984.0,0.0,0.0,45984.0,INR
G0141,2026-07-11,SPLIT-84,GW90000141,Customer_43,SETTLEMENT,25955.0,0.0,0.0,25955.0,INR
G0142,2026-07-29,SPLIT-85,GW90000142,Customer_06,SETTLEMENT,39523.0,0.0,0.0,39523.0,INR
G0143,2026-08-04,SPLIT-86,GW90000143,Customer_19,SETTLEMENT,34983.0,0.0,0.0,34983.0,INR
G0144,2026-08-01,SPLIT-87,GW90000144,Customer_32,SETTLEMENT,62583.0,0.0,0.0,62583.0,INR
G0145,2026-08-14,SPLIT-88,GW90000145,Customer_45,SETTLEMENT,27945.0,0.0,0.0,27945.0,INR
G0146,2026-07-24,SPLIT-89,GW90000146,Customer_08,SETTLEMENT,61526.0,0.0,0.0,61526.0,INR
G0147,2026-07-14,SPLIT-90,GW90000147,Customer_21,SETTLEMENT,52194.0,0.0,0.0,52194.0,INR
G0148,2026-08-15,NM-91-0,GW90000148,Customer_48,SETTLEMENT,17151.0,0.0,0.0,17151.0,INR
G0149,2026-08-16,NM-91-1,GW90000149,Customer_48,SETTLEMENT,7519.0,0.0,0.0,7519.0,INR
G0150,2026-08-17,NM-91-2,GW90000150,Customer_48,SETTLEMENT,11117.0,0.0,0.0,11117.0,INR
G0151,2026-07-13,NM-92-0,GW90000151,Customer_15,SETTLEMENT,13348.0,0.0,0.0,13348.0,INR
G0152,2026-07-14,NM-92-1,GW90000152,Customer_15,SETTLEMENT,18782.0,0.0,0.0,18782.0,INR
G0153,2026-08-13,NM-93-0,GW90000153,Customer_32,SETTLEMENT,44425.0,0.0,0.0,44425.0,INR
G0154,2026-08-14,NM-93-1,GW90000154,Customer_32,SETTLEMENT,21074.0,0.0,0.0,21074.0,INR
G0155,2026-08-11,NM-94-0,GW90000155,Customer_49,SETTLEMENT,14333.0,0.0,0.0,14333.0,INR
G0156,2026-08-12,NM-94-1,GW90000156,Customer_49,SETTLEMENT,8789.0,0.0,0.0,8789.0,INR
G0157,2026-08-13,NM-94-2,GW90000157,Customer_49,SETTLEMENT,5810.0,0.0,0.0,5810.0,INR
G0158,2026-08-14,NM-94-3,GW90000158,Customer_49,SETTLEMENT,11879.0,0.0,0.0,11879.0,INR
G0159,2026-08-09,NM-95-0,GW90000159,Customer_16,SETTLEMENT,35134.0,0.0,0.0,35134.0,INR
G0160,2026-08-10,NM-95-1,GW90000160,Customer_16,SETTLEMENT,46599.0,0.0,0.0,46599.0,INR
G0161,2026-08-07,NM-96-0,GW90000161,Customer_33,SETTLEMENT,26785.0,0.0,0.0,26785.0,INR
G0162,2026-08-08,NM-96-1,GW90000162,Customer_33,SETTLEMENT,46963.0,0.0,0.0,46963.0,INR
G0163,2026-08-09,NM-96-2,GW90000163,Customer_33,SETTLEMENT,5516.0,0.0,0.0,5516.0,INR
G0164,2026-08-10,NM-96-3,GW90000164,Customer_33,SETTLEMENT,7170.0,0.0,0.0,7170.0,INR
G0165,2026-07-12,NM-97-0,GW90000165,Customer_50,SETTLEMENT,32098.0,0.0,0.0,32098.0,INR
G0166,2026-07-13,NM-97-1,GW90000166,Customer_50,SETTLEMENT,11018.0,0.0,0.0,11018.0,INR
G0167,2026-07-07,NM-98-0,GW90000167,Customer_17,SETTLEMENT,62555.0,0.0,0.0,62555.0,INR
G0168,2026-07-08,NM-98-1,GW90000168,Customer_17,SETTLEMENT,10075.0,0.0,0.0,10075.0,INR
G0169,2026-07-20,NM-99-0,GW90000169,Customer_34,SETTLEMENT,25075.0,0.0,0.0,25075.0,INR
G0170,2026-07-21,NM-99-1,GW90000170,Customer_34,SETTLEMENT,28415.0,0.0,0.0,28415.0,INR
G0171,2026-07-22,NM-99-2,GW90000171,Customer_34,SETTLEMENT,34397.0,0.0,0.0,34397.0,INR
G0172,2026-07-24,NM-100-0,GW90000172,Customer_01,SETTLEMENT,34402.0,0.0,0.0,34402.0,INR
G0173,2026-07-25,NM-100-1,GW90000173,Customer_01,SETTLEMENT,13067.0,0.0,0.0,13067.0,INR
G0174,2026-07-26,NM-100-2,GW90000174,Customer_01,SETTLEMENT,16158.0,0.0,0.0,16158.0,INR
G0175,2026-08-14,NM-101-0,GW90000175,Customer_18,SETTLEMENT,37356.0,0.0,0.0,37356.0,INR
G0176,2026-08-15,NM-101-1,GW90000176,Customer_18,SETTLEMENT,7225.0,0.0,0.0,7225.0,INR
G0177,2026-08-16,NM-101-2,GW90000177,Customer_18,SETTLEMENT,14029.0,0.0,0.0,14029.0,INR
G0178,2026-07-17,NM-102-0,GW90000178,Customer_35,SETTLEMENT,4468.0,0.0,0.0,4468.0,INR
G0179,2026-07-18,NM-102-1,GW90000179,Customer_35,SETTLEMENT,76930.0,0.0,0.0,76930.0,INR
G0180,2026-07-04,NM-103-0,GW90000180,Customer_02,SETTLEMENT,13183.0,0.0,0.0,13183.0,INR
G0181,2026-07-05,NM-103-1,GW90000181,Customer_02,SETTLEMENT,35082.0,0.0,0.0,35082.0,INR
G0182,2026-07-06,NM-103-2,GW90000182,Customer_02,SETTLEMENT,13956.0,0.0,0.0,13956.0,INR
G0183,2026-07-20,NM-104-0,GW90000183,Customer_19,SETTLEMENT,10175.0,0.0,0.0,10175.0,INR
G0184,2026-07-21,NM-104-1,GW90000184,Customer_19,SETTLEMENT,67111.0,0.0,0.0,67111.0,INR
G0185,2026-07-02,NM-105-0,GW90000185,Customer_36,SETTLEMENT,35539.0,0.0,0.0,35539.0,INR
G0186,2026-07-03,NM-105-1,GW90000186,Customer_36,SETTLEMENT,20096.0,0.0,0.0,20096.0,INR
G0187,2026-07-04,NM-105-2,GW90000187,Customer_36,SETTLEMENT,7618.0,0.0,0.0,7618.0,INR
G0188,2026-07-14,NM-106-0,GW90000188,Customer_03,SETTLEMENT,19903.0,0.0,0.0,19903.0,INR
G0189,2026-07-15,NM-106-1,GW90000189,Customer_03,SETTLEMENT,11526.0,0.0,0.0,11526.0,INR
G0190,2026-07-16,NM-106-2,GW90000190,Customer_03,SETTLEMENT,56551.0,0.0,0.0,56551.0,INR
G0191,2026-08-09,NM-107-0,GW90000191,Customer_20,SETTLEMENT,26306.0,0.0,0.0,26306.0,INR
G0192,2026-08-10,NM-107-1,GW90000192,Customer_20,SETTLEMENT,22510.0,0.0,0.0,22510.0,INR
G0193,2026-08-11,NM-107-2,GW90000193,Customer_20,SETTLEMENT,4453.0,0.0,0.0,4453.0,INR
G0194,2026-08-12,NM-107-3,GW90000194,Customer_20,SETTLEMENT,4222.0,0.0,0.0,4222.0,INR
G0195,2026-08-06,NM-108-0,GW90000195,Customer_37,SETTLEMENT,26547.0,0.0,0.0,26547.0,INR
G0196,2026-08-07,NM-108-1,GW90000196,Customer_37,SETTLEMENT,23837.0,0.0,0.0,23837.0,INR
G0197,2026-08-08,NM-108-2,GW90000197,Customer_37,SETTLEMENT,4198.0,0.0,0.0,4198.0,INR
G0198,2026-08-09,NM-108-3,GW90000198,Customer_37,SETTLEMENT,7988.0,0.0,0.0,7988.0,INR
G0199,2026-08-11,NM-109-0,GW90000199,Customer_04,SETTLEMENT,10996.0,0.0,0.0,10996.0,INR
G0200,2026-08-12,NM-109-1,GW90000200,Customer_04,SETTLEMENT,4367.0,0.0,0.0,4367.0,INR
G0201,2026-08-13,NM-109-2,GW90000201,Customer_04,SETTLEMENT,15388.0,0.0,0.0,15388.0,INR
G0202,2026-07-25,NM-110-0,GW90000202,Customer_21,SETTLEMENT,17120.0,0.0,0.0,17120.0,INR
G0203,2026-07-26,NM-110-1,GW90000203,Customer_21,SETTLEMENT,49039.0,0.0,0.0,49039.0,INR
G0204,2026-07-28,FEE-111,GW90000204,Customer_10,SETTLEMENT,23407.0,550.06,99.01,22757.93,INR
G0205,2026-07-20,FEE-112,GW90000205,Customer_29,SETTLEMENT,83198.0,1955.15,351.93,80890.92,INR
G0206,2026-08-11,FEE-113,GW90000206,Customer_48,SETTLEMENT,40622.0,954.62,171.83,39495.55,INR
G0207,2026-07-08,FEE-114,GW90000207,Customer_17,SETTLEMENT,83415.0,1501.47,270.26,81643.27,INR
G0208,2026-08-01,FEE-115,GW90000208,Customer_36,SETTLEMENT,34225.0,616.05,110.89,33498.06,INR
G0209,2026-07-30,FEE-116,GW90000209,Customer_05,SETTLEMENT,71338.0,1426.76,256.82,69654.42,INR
G0210,2026-07-07,FEE-117,GW90000210,Customer_24,SETTLEMENT,76410.0,1528.2,275.08,74606.72,INR
G0211,2026-07-06,FEE-118,GW90000211,Customer_43,SETTLEMENT,23277.0,465.54,83.8,22727.66,INR
G0212,2026-08-08,FEE-119,GW90000212,Customer_12,SETTLEMENT,15802.0,331.84,59.73,15410.43,INR
G0213,2026-08-01,FEE-120,GW90000213,Customer_31,SETTLEMENT,16983.0,399.1,71.84,16512.06,INR
G0214,2026-07-23,FEE-121,GW90000214,Customer_50,SETTLEMENT,52176.0,1043.52,187.83,50944.65,INR
G0215,2026-07-26,FEE-122,GW90000215,Customer_19,SETTLEMENT,27773.0,499.91,89.98,27183.11,INR
G0216,2026-07-21,FEE-123,GW90000216,Customer_38,SETTLEMENT,38495.0,769.9,138.58,37586.52,INR
G0217,2026-07-25,FEE-124,GW90000217,Customer_07,SETTLEMENT,40922.0,859.36,154.68,39907.96,INR
G0218,2026-07-22,FEE-125,GW90000218,Customer_26,SETTLEMENT,36142.0,849.34,152.88,35139.78,INR
G0219,2026-07-03,FEE-126,GW90000219,Customer_45,SETTLEMENT,69082.0,1381.64,248.7,67451.66,INR
G0220,2026-07-08,FEE-127,GW90000220,Customer_14,SETTLEMENT,58854.0,1177.08,211.87,57465.05,INR
G0221,2026-07-21,FEE-128,GW90000221,Customer_33,SETTLEMENT,52983.0,953.69,171.66,51857.65,INR
G0222,2026-07-10,FEE-129,GW90000222,Customer_02,SETTLEMENT,29492.0,589.84,106.17,28795.99,INR
G0223,2026-08-17,FEE-130,GW90000223,Customer_21,SETTLEMENT,41975.0,839.5,151.11,40984.39,INR
G0224,2026-07-29,REF-131,GW90000224,Customer_14,CHARGE,71221.0,0.0,0.0,71221.0,INR
G0225,2026-07-31,REF-131,GW90000225,Customer_14,PARTIAL_REFUND,-11297.0,0.0,0.0,-11297.0,INR
G0226,2026-07-11,REF-132,GW90000226,Customer_37,CHARGE,67059.0,0.0,0.0,67059.0,INR
G0227,2026-07-13,REF-132,GW90000227,Customer_37,PARTIAL_REFUND,-16858.0,0.0,0.0,-16858.0,INR
G0228,2026-08-01,REF-133,GW90000228,Customer_10,CHARGE,43267.0,0.0,0.0,43267.0,INR
G0229,2026-08-03,REF-133,GW90000229,Customer_10,PARTIAL_REFUND,-12341.0,0.0,0.0,-12341.0,INR
G0230,2026-07-16,REF-134,GW90000230,Customer_33,CHARGE,72184.0,0.0,0.0,72184.0,INR
