bank_txn_id,date,description,amount,currency,reference
B0079,2026-07-13,PART PAYMENT / INSTALMENT,23307.0,INR,UTR70000079
B0080,2026-07-15,PART PAYMENT / INSTALMENT,3000.0,INR,UTR70000080
B0081,2026-07-14,PART PAYMENT / INSTALMENT,3000.0,INR,UTR70000081
B0082,2026-07-17,PART PAYMENT / INSTALMENT,1632.0,INR,UTR70000082
B0083,2026-08-04,PART PAYMENT / INSTALMENT,23252.0,INR,UTR70000083
B0084,2026-08-04,PART PAYMENT / INSTALMENT,11345.0,INR,UTR70000084
B0085,2026-07-17,PART PAYMENT / INSTALMENT,8800.0,INR,UTR70000085
B0086,2026-07-19,PART PAYMENT / INSTALMENT,6108.0,INR,UTR70000086
B0087,2026-07-18,PART PAYMENT / INSTALMENT,3371.0,INR,UTR70000087
B0088,2026-07-21,PART PAYMENT / INSTALMENT,14102.0,INR,UTR70000088
B0089,2026-07-14,PART PAYMENT / INSTALMENT,8511.0,INR,UTR70000089
B0090,2026-07-14,PART PAYMENT / INSTALMENT,4298.0,INR,UTR70000090
B0091,2026-07-15,PART PAYMENT / INSTALMENT,9350.0,INR,UTR70000091
B0092,2026-08-05,PART PAYMENT / INSTALMENT,18263.0,INR,UTR70000092
B0093,2026-08-06,PART PAYMENT / INSTALMENT,3463.0,INR,UTR70000093
B0094,2026-08-08,PART PAYMENT / INSTALMENT,9456.0,INR,UTR70000094
B0095,2026-08-21,PART PAYMENT / INSTALMENT,32243.0,INR,UTR70000095
B0096,2026-08-21,PART PAYMENT / INSTALMENT,6868.0,INR,UTR70000096
B0097,2026-08-17,PART PAYMENT / INSTALMENT,14400.0,INR,UTR70000097
B0098,2026-08-19,PART PAYMENT / INSTALMENT,16949.0,INR,UTR70000098
B0099,2026-08-19,PART PAYMENT / INSTALMENT,23017.0,INR,UTR70000099
B0100,2026-08-12,PART PAYMENT / INSTALMENT,3460.0,INR,UTR70000100
B0101,2026-08-12,PART PAYMENT / INSTALMENT,20753.0,INR,UTR70000101
B0102,2026-08-14,PART PAYMENT / INSTALMENT,4660.0,INR,UTR70000102
B0103,2026-07-26,PART PAYMENT / INSTALMENT,38183.0,INR,UTR70000103
B0104,2026-07-28,PART PAYMENT / INSTALMENT,26196.0,INR,UTR70000104
B0105,2026-07-07,PART PAYMENT / INSTALMENT,39005.0,INR,UTR70000105
B0106,2026-07-09,PART PAYMENT / INSTALMENT,11234.0,INR,UTR70000106
B0107,2026-07-08,PART PAYMENT / INSTALMENT,3142.0,INR,UTR70000107
B0108,2026-07-14,PART PAYMENT / INSTALMENT,7639.0,INR,UTR70000108
B0109,2026-07-15,PART PAYMENT / INSTALMENT,21122.0,INR,UTR70000109
B0110,2026-08-04,PART PAYMENT / INSTALMENT,30568.0,INR,UTR70000110
B0111,2026-08-06,PART PAYMENT / INSTALMENT,14031.0,INR,UTR70000111
B0112,2026-08-06,PART PAYMENT / INSTALMENT,6203.0,INR,UTR70000112
B0113,2026-08-09,PART PAYMENT / INSTALMENT,10915.0,INR,UTR70000113
B0114,2026-08-04,PART PAYMENT / INSTALMENT,19093.0,INR,UTR70000114
B0115,2026-08-07,PART PAYMENT / INSTALMENT,3773.0,INR,UTR70000115
B0116,2026-08-06,PART PAYMENT / INSTALMENT,4558.0,INR,UTR70000116
B0117,2026-08-08,PART PAYMENT / INSTALMENT,2900.0,INR,UTR70000117
B0118,2026-08-11,PART PAYMENT / INSTALMENT,20032.0,INR,UTR70000118
B0119,2026-08-10,PART PAYMENT / INSTALMENT,16834.0,INR,UTR70000119
B0120,2026-08-12,PART PAYMENT / INSTALMENT,5649.0,INR,UTR70000120
B0121,2026-08-13,PART PAYMENT / INSTALMENT,3469.0,INR,UTR70000121
B0122,2026-07-09,PART PAYMENT / INSTALMENT,11253.0,INR,UTR70000122
B0123,2026-07-12,PART PAYMENT / INSTALMENT,14702.0,INR,UTR70000123
B0124,2026-07-29,PART PAYMENT / INSTALMENT,21183.0,INR,UTR70000124
B0125,2026-07-30,PART PAYMENT / INSTALMENT,18340.0,INR,UTR70000125
B0126,2026-08-04,PART PAYMENT / INSTALMENT,19183.0,INR,UTR70000126
B0127,2026-08-04,PART PAYMENT / INSTALMENT,15800.0,INR,UTR70000127
B0128,2026-07-30,PART PAYMENT / INSTALMENT,26923.0,INR,UTR70000128
B0129,2026-08-01,PART PAYMENT / INSTALMENT,29873.0,INR,UTR70000129
B0130,2026-08-01,PART PAYMENT / INSTALMENT,3079.0,INR,UTR70000130
B0131,2026-08-04,PART PAYMENT / INSTALMENT,2708.0,INR,UTR70000131
B0132,2026-08-14,PART PAYMENT / INSTALMENT,12163.0,INR,UTR70000132
B0133,2026-08-13,PART PAYMENT / INSTALMENT,8346.0,INR,UTR70000133
B0134,2026-08-14,PART PAYMENT / INSTALMENT,7436.0,INR,UTR70000134
B0135,2026-07-24,PART PAYMENT / INSTALMENT,19663.0,INR,UTR70000135
B0136,2026-07-24,PART PAYMENT / INSTALMENT,41863.0,INR,UTR70000136
B0137,2026-07-13,PART PAYMENT / INSTALMENT,23088.0,INR,UTR70000137
B0138,2026-07-13,PART PAYMENT / INSTALMENT,29106.0,INR,UTR70000138
B0139,2026-08-15,SPLIT BULK COLLECTION,5498.0,INR,UTR70000139
B0140,2026-08-16,SPLIT BULK COLLECTION,30289.0,INR,UTR70000140
B0141,2026-07-15,SPLIT BULK COLLECTION,18100.0,INR,UTR70000141
B0142,2026-07-16,SPLIT BULK COLLECTION,5055.0,INR,UTR70000142
B0143,2026-07-16,SPLIT BULK COLLECTION,4521.0,INR,UTR70000143
B0144,2026-07-18,SPLIT BULK COLLECTION,4454.0,INR,UTR70000144
B0145,2026-08-14,SPLIT BULK COLLECTION,35253.0,INR,UTR70000145
B0146,2026-08-15,SPLIT BULK COLLECTION,30246.0,INR,UTR70000146
B0147,2026-08-13,SPLIT BULK COLLECTION,5658.0,INR,UTR70000147
B0148,2026-08-14,SPLIT BULK COLLECTION,35153.0,INR,UTR70000148
B0149,2026-08-09,SPLIT BULK COLLECTION,8999.0,INR,UTR70000149
B0150,2026-08-11,SPLIT BULK COLLECTION,22479.0,INR,UTR70000150
B0151,2026-08-12,SPLIT BULK COLLECTION,50255.0,INR,UTR70000151
B0152,2026-08-07,SPLIT BULK COLLECTION,36374.0,INR,UTR70000152
B0153,2026-08-09,SPLIT BULK COLLECTION,50060.0,INR,UTR70000153
B0154,2026-07-14,SPLIT BULK COLLECTION,27576.0,INR,UTR70000154
B0155,2026-07-13,SPLIT BULK COLLECTION,15540.0,INR,UTR70000155
B0156,2026-07-09,SPLIT BULK COLLECTION,15764.0,INR,UTR70000156
B0157,2026-07-08,SPLIT BULK COLLECTION,6718.0,INR,UTR70000157
B0158,2026-07-09,SPLIT BULK COLLECTION,39982.0,INR,UTR70000158
B0159,2026-07-10,SPLIT BULK COLLECTION,10166.0,INR,UTR70000159
B0160,2026-07-20,SPLIT BULK COLLECTION,40190.0,INR,UTR70000160
B0161,2026-07-21,SPLIT BULK COLLECTION,28163.0,INR,UTR70000161
B0162,2026-07-22,SPLIT BULK COLLECTION,19534.0,INR,UTR70000162
B0163,2026-07-25,SPLIT BULK COLLECTION,36503.0,INR,UTR70000163
B0164,2026-07-26,SPLIT BULK COLLECTION,9391.0,INR,UTR70000164
B0165,2026-07-26,SPLIT BULK COLLECTION,7201.0,INR,UTR70000165
B0166,2026-07-29,SPLIT BULK COLLECTION,10532.0,INR,UTR70000166
B0167,2026-08-14,SPLIT BULK COLLECTION,14365.0,INR,UTR70000167
B0168,2026-08-17,SPLIT BULK COLLECTION,23761.0,INR,UTR70000168
B0169,2026-08-18,SPLIT BULK COLLECTION,13768.0,INR,UTR70000169
B0170,2026-08-17,SPLIT BULK COLLECTION,6716.0,INR,UTR70000170
B0171,2026-07-17,SPLIT BULK COLLECTION,59324.0,INR,UTR70000171
B0172,2026-07-18,SPLIT BULK COLLECTION,5412.0,INR,UTR70000172
B0173,2026-07-20,SPLIT BULK COLLECTION,8238.0,INR,UTR70000173
B0174,2026-07-20,SPLIT BULK COLLECTION,8424.0,INR,UTR70000174
B0175,2026-07-04,SPLIT BULK COLLECTION,4209.0,INR,UTR70000175
B0176,2026-07-06,SPLIT BULK COLLECTION,27826.0,INR,UTR70000176
B0177,2026-07-08,SPLIT BULK COLLECTION,17007.0,INR,UTR70000177
B0178,2026-07-07,SPLIT BULK COLLECTION,13179.0,INR,UTR70000178
B0179,2026-07-22,SPLIT BULK COLLECTION,34835.0,INR,UTR70000179
B0180,2026-07-22,SPLIT BULK COLLECTION,27327.0,INR,UTR70000180
B0181,2026-07-23,SPLIT BULK COLLECTION,7317.0,INR,UTR70000181
B0182,2026-07-25,SPLIT BULK COLLECTION,7807.0,INR,UTR70000182
B0183,2026-07-04,SPLIT BULK COLLECTION,19041.0,INR,UTR70000183
B0184,2026-07-04,SPLIT BULK COLLECTION,27591.0,INR,UTR70000184
B0185,2026-07-05,SPLIT BULK COLLECTION,11309.0,INR,UTR70000185
B0186,2026-07-07,SPLIT BULK COLLECTION,5312.0,INR,UTR70000186
B0187,2026-07-15,SPLIT BULK COLLECTION,78503.0,INR,UTR70000187
B0188,2026-07-17,SPLIT BULK COLLECTION,5145.0,INR,UTR70000188
B0189,2026-07-18,SPLIT BULK COLLECTION,4332.0,INR,UTR70000189
B0190,2026-08-11,SPLIT BULK COLLECTION,31518.0,INR,UTR70000190
B0191,2026-08-11,SPLIT BULK COLLECTION,25973.0,INR,UTR70000191
B0192,2026-08-07,SPLIT BULK COLLECTION,27779.0,INR,UTR70000192
B0193,2026-08-08,SPLIT BULK COLLECTION,24284.0,INR,UTR70000193
B0194,2026-08-08,SPLIT BULK COLLECTION,10507.0,INR,UTR70000194
B0195,2026-08-12,SPLIT BULK COLLECTION,21051.0,INR,UTR70000195
B0196,2026-08-14,SPLIT BULK COLLECTION,9700.0,INR,UTR70000196
B0197,2026-07-26,SPLIT BULK COLLECTION,9857.0,INR,UTR70000197
B0198,2026-07-26,SPLIT BULK COLLECTION,56302.0,INR,UTR70000198
B0199,2026-07-29,NET SETTLEMENT AFTER MDR/TDR,22757.93,INR,UTR70000199
B0200,2026-07-21,NET SETTLEMENT AFTER MDR/TDR,80890.92,INR,UTR70000200
B0201,2026-08-12,NET SETTLEMENT AFTER MDR/TDR,39495.55,INR,UTR70000201
B0202,2026-07-09,NET SETTLEMENT AFTER MDR/TDR,81643.27,INR,UTR70000202
B0203,2026-08-02,NET SETTLEMENT AFTER MDR/TDR,33498.06,INR,UTR70000203
B0204,2026-07-31,NET SETTLEMENT AFTER MDR/TDR,69654.42,INR,UTR70000204
B0205,2026-07-08,NET SETTLEMENT AFTER MDR/TDR,74606.72,INR,UTR70000205
B0206,2026-07-07,NET SETTLEMENT AFTER MDR/TDR,22727.66,INR,UTR70000206
B0207,2026-08-09,NET SETTLEMENT AFTER MDR/TDR,15410.43,INR,UTR70000207
B0208,2026-08-02,NET SETTLEMENT AFTER MDR/TDR,16512.06,INR,UTR70000208
B0209,2026-07-24,NET SETTLEMENT AFTER MDR/TDR,50944.65,INR,UTR70000209
B0210,2026-07-27,NET SETTLEMENT AFTER MDR/TDR,27183.11,INR,UTR70000210
B0211,2026-07-22,NET SETTLEMENT AFTER MDR/TDR,37586.52,INR,UTR70000211
B0212,2026-07-26,NET SETTLEMENT AFTER MDR/TDR,39907.96,INR,UTR70000212
B0213,2026-07-23,NET SETTLEMENT AFTER MDR/TDR,35139.78,INR,UTR70000213
B0214,2026-07-04,NET SETTLEMENT AFTER MDR/TDR,67451.66,INR,UTR70000214
B0215,2026-07-09,NET SETTLEMENT AFTER MDR/TDR,57465.05,INR,UTR70000215
B0216,2026-07-22,NET SETTLEMENT AFTER MDR/TDR,51857.65,INR,UTR70000216
B0217,2026-07-11,NET SETTLEMENT AFTER MDR/TDR,28795.99,INR,UTR70000217
B0218,2026-08-18,NET SETTLEMENT AFTER MDR/TDR,40984.39,INR,UTR70000218
B0219,2026-08-01,SETTLEMENT LESS REFUND,59924.0,INR,UTR70000219
B0220,2026-07-14,SETTLEMENT LESS REFUND,50201.0,INR,UTR70000220
B0221,2026-08-04,SETTLEMENT LESS REFUND,30926.0,INR,UTR70000221
B0222,2026-07-19,SETTLEMENT LESS REFUND,70057.0,INR,UTR70000222
B0223,2026-08-12,SETTLEMENT LESS REFUND,47018.0,INR,UTR70000223
B0224,2026-08-06,SETTLEMENT LESS REFUND,32261.0,INR,UTR70000224
B0225,2026-08-20,SETTLEMENT LESS REFUND,35473.0,INR,UTR70000225
B0226,2026-07-29,SETTLEMENT LESS REFUND,53423.0,INR,UTR70000226
B0227,2026-08-04,SETTLEMENT LESS REFUND,28622.0,INR,UTR70000227
B0228,2026-07-17,SETTLEMENT LESS REFUND,30672.0,INR,UTR70000228
B0229,2026-07-06,SETTLEMENT LESS REFUND,54769.0,INR,UTR70000229
B0230,2026-08-09,SETTLEMENT LESS REFUND,36074.0,INR,UTR70000230
B0231,2026-08-10,SETTLEMENT LESS REFUND,30332.0,INR,UTR70000231
B0232,2026-07-10,SETTLEMENT LESS REFUND,57794.0,INR,UTR70000232
B0233,2026-08-02,SETTLEMENT LESS REFUND,50969.0,INR,UTR70000233
B0234,2026-08-07,Customer_39 PAYMENT,20000.0,INR,UTR70000234
B0235,2026-08-08,Customer_40 PAYMENT,20000.0,INR,UTR70000235
B0236,2026-08-08,Customer_42 PAYMENT,15000.0,INR,UTR70000236
B0237,2026-08-09,Customer_43 PAYMENT,15000.0,INR,UTR70000237
B0238,2026-08-05,Customer_45 PAYMENT,20000.0,INR,UTR70000238
B0239,2026-08-06,Customer_46 PAYMENT,20000.0,INR,UTR70000239
B0240,2026-08-14,Customer_48 PAYMENT,25000.0,INR,UTR70000240
B0241,2026-08-15,Customer_49 PAYMENT,25000.0,INR,UTR70000241
B0242,2026-07-23,Customer_01 PAYMENT,15000.0,INR,UTR70000242
B0243,2026-07-24,Customer_02 PAYMENT,15000.0,INR,UTR70000243
B0244,2026-07-15,Customer_04 PAYMENT,25000.0,INR,UTR70000244
B0245,2026-07-16,Customer_05 PAYMENT,25000.0,INR,UTR70000245
B0246,2026-08-11,Customer_07 PAYMENT,10000.0,INR,UTR70000246
B0247,2026-08-12,Customer_08 PAYMENT,10000.0,INR,UTR70000247
B0248,2026-08-06,Customer_10 PAYMENT,15000.0,INR,UTR70000248
B0249,2026-08-07,Customer_11 PAYMENT,15000.0,INR,UTR70000249
B0250,2026-08-04,Customer_13 PAYMENT,20000.0,INR,UTR70000250
B0251,2026-08-05,Customer_14 PAYMENT,20000.0,INR,UTR70000251
B0252,2026-08-09,Customer_16 PAYMENT,15000.0,INR,UTR70000252
B0253,2026-08-10,Customer_17 PAYMENT,15000.0,INR,UTR70000253
B0254,2026-07-11,ROUNDING ADJUSTED SETTLEMENT,33134.23,INR,UTR70000254
B0255,2026-07-06,ROUNDING ADJUSTED SETTLEMENT,45676.4,INR,UTR70000255
B0256,2026-08-18,ROUNDING ADJUSTED SETTLEMENT,24161.34,INR,UTR70000256
B0257,2026-08-21,ROUNDING ADJUSTED SETTLEMENT,7949.2,INR,UTR70000257
B0258,2026-07-15,ROUNDING ADJUSTED SETTLEMENT,46381.09,INR,UTR70000258
B0259,2026-07-21,ROUNDING ADJUSTED SETTLEMENT,49413.95,INR,UTR70000259
B0260,2026-08-20,ROUNDING ADJUSTED SETTLEMENT,33941.78,INR,UTR70000260
B0261,2026-07-10,ROUNDING ADJUSTED SETTLEMENT,32779.2,INR,UTR70000261
B0262,2026-08-10,ROUNDING ADJUSTED SETTLEMENT,31834.58,INR,UTR70000262
B0263,2026-07-30,ROUNDING ADJUSTED SETTLEMENT,46848.24,INR,UTR70000263
B0264,2026-07-24,UNKNOWN/UNALLOCATED BANK CREDIT,44904.0,INR,UTR70000264
B0265,2026-07-04,UNKNOWN/UNALLOCATED BANK CREDIT,32191.0,INR,UTR70000265
B0266,2026-08-15,UNKNOWN/UNALLOCATED BANK CREDIT,12627.0,INR,UTR70000266
B0267,2026-07-28,UNKNOWN/UNALLOCATED BANK CREDIT,32062.0,INR,UTR70000267
B0268,2026-08-05,UNKNOWN/UNALLOCATED BANK CREDIT,10814.0,INR,UTR70000268
B0269,2026-07-08,UNKNOWN/UNALLOCATED BANK CREDIT,19024.0,INR,UTR70000269
B0270,2026-07-27,UNKNOWN/UNALLOCATED BANK CREDIT,44823.0,INR,UTR70000270
B0271,2026-07-31,UNKNOWN/UNALLOCATED BANK CREDIT,6649.0,INR,UTR70000271
B0272,2026-08-03,Customer_32 PAYMENT,20000.0,INR,UTR-WRONG-190
B0273,2026-08-18,Customer_39 PAYMENT,30000.0,INR,UTR-WRONG-191
B0274,2026-08-06,Customer_46 PAYMENT,15000.0,INR,UTR-WRONG-192
B0275,2026-07-10,Customer_03 PAYMENT,25000.0,INR,UTR-WRONG-193
B0276,2026-07-03,Customer_10 PAYMENT,15000.0,INR,UTR-WRONG-194
B0277,2026-07-20,Customer_17 PAYMENT,12000.0,INR,UTR-WRONG-195
B0278,2026-08-10,UNEXPLAINED AMOUNT DIFFERENCE,32782.0,INR,UTR70000278
B0279,2026-07-17,UNEXPLAINED AMOUNT DIFFERENCE,39080.0,INR,UTR70000279
B0280,2026-08-18,UNEXPLAINED AMOUNT DIFFERENCE,39241.0,INR,UTR70000280
B0281,2026-08-16,UNEXPLAINED AMOUNT DIFFERENCE,17404.0,INR,UTR70000281
B0282,2026-07-14,UNEXPLAINED AMOUNT DIFFERENCE,29065.0,INR,UTR70000282
B0283,2026-09-27,STALE SAME AMOUNT CREDIT,16844.0,INR,UTR70000283
B0284,2026-09-22,STALE SAME AMOUNT CREDIT,23416.0,INR,UTR70000284
B0285,2026-09-28,STALE SAME AMOUNT CREDIT,19256.0,INR,UTR70000285
B0286,2026-09-29,STALE SAME AMOUNT CREDIT,24858.0,INR,UTR70000286
B0287,2026-09-27,STALE SAME AMOUNT CREDIT,19376.0,INR,UTR70000287
